# http://fitlayout.github.io/resource/art21 -> https://www.imdb.com/title/tt0844441/fullcredits/
character=Luke McDonald	name=Wes Brown	episodes=7 episodes, 2009 	
character=Talbot	name=Theo Alexander	episodes=7 episodes, 2010 	
character=Marcus Bozeman	name=Dan Buran	episodes=7 episodes, 2011 	
character=Hadley Hale	name=Lindsey Haun	episodes=7 episodes, 2009-2012 	
character=JD	name=Louis Herthum	episodes=7 episodes, 2012 	
character=Joe Lee Mickens	name=Cooper Huckabee	episodes=7 episodes, 2010-2011 	
character=Michelle Stackhouse	name=Jenni Blong	episodes=7 episodes, 2008-2013 	
character=Dawn Green	name=Lynn Collins	episodes=6 episodes, 2008 	
character=Amy Burley	name=Lizzy Caplan	episodes=6 episodes, 2008-2009 	
character=Niall Brigant	name=Rutger Hauer	episodes=6 episodes, 2013-2014 	
character=James	name=Luke Grimes	episodes=6 episodes, 2013 	
character=David Finch	name=John Prosky	episodes=6 episodes, 2008-2013 	
character=Kirsch	name=Annie Fitzgerald	episodes=6 episodes, 2011 	
character=Claudine Crane	name=Lara Pulver	episodes=6 episodes, 2010-2012 	
character=Calvin Norris	name=Gregory Sporleder	episodes=6 episodes, 2010 	
character=Gus	name=Don Swayze	episodes=6 episodes, 2010 	
character=Dieter Braun	name=Christopher Heyerdahl	episodes=6 episodes, 2012 	
character=Summer	name=Melissa Rauch	episodes=6 episodes, 2010 	
character=Molly	name=Tina Majorino	episodes=6 episodes, 2012 	
character=Duprez	name=Damion Poitier	episodes=6 episodes, 2011 	
character=Claudette	name=Camilla Luddington	episodes=6 episodes, 2012 	
character=Zaafira	name=Anna Khaja	episodes=5 episodes, 2012 	
character=Roman Zimojic	name=Christopher Meloni	episodes=5 episodes, 2012 	
character=Magister	name=Zeljko Ivanek	episodes=5 episodes, 2008-2014 	
character=Ruby Jean Reynolds	name=Alfre Woodard	episodes=5 episodes, 2010-2012 	
character=Liam	name=Graham Shiels	episodes=5 episodes, 2008 	
character=Isabel	name=Valerie Cruz	episodes=5 episodes, 2009 	
character=Yvetta	name=Natasha Alam	episodes=5 episodes, 2010 	
character=Naomi	name=Vedette Lim	episodes=5 episodes, 2011 	
character=Finn	name=Pruitt Taylor Vince	episodes=5 episodes, 2013 	
character=Barry	name=Chris Coy	episodes=5 episodes, 2009-2011 	
character=Keith	name=Riley Smith	episodes=5 episodes, 2014 	
character=Maurella	name=Kristina Anapau	episodes=5 episodes, 2011-2012 	
character=Mr. Gus	name=Will Yun Lee	episodes=5 episodes, 2014 	
character=Hido Takahashi	name=Keone Young	episodes=5 episodes, 2013 	
character=Luellen	name=Stephanie Erb	episodes=5 episodes, 2011 	
character=Dr. Overlark	name=John Fleck	episodes=5 episodes, 2013 	
character=Caroline Compton	name=Shannon Lucio	episodes=5 episodes, 2010-2014 	
character=Beverleen	name=Dendrie Taylor	episodes=5 episodes, 2011 	
character=Yuske	name=Yutaka Takeuchi	episodes=5 episodes, 2014 	
character=Karen	name=Paula Jai Parker	episodes=5 episodes, 2013-2014 	
character=Trevor	name=Chad Todhunter	episodes=5 episodes, 2011 	
character=Blackburn	name=Aaron Perilo	episodes=5 episodes, 2011 	
character=Big John	name=John W. Godley	episodes=5 episodes, 2013-2014 	
character=Officer Bucky Featherstone	name=Brandon Molale	episodes=5 episodes, 2011 	
character=Royce	name=Caleb Moody	episodes=4 episodes, 2008-2009 	
character=Joe Bob	name=Ted Welch	episodes=4 episodes, 2012 	
character=Maudette Pickens	name=Danielle Sapia	episodes=4 episodes, 2008 	
character=Eddie Gauthier	name=Stephen Root	episodes=4 episodes, 2008-2010 	
character=Longshadow	name=Raoul Max Trujillo	episodes=4 episodes, 2008 	
character=Chow	name=Patrick Gallagher	episodes=4 episodes, 2008-2009 	
character=Katerina Pelham	name=Alexandra Breckenridge	episodes=4 episodes, 2011 	
character=Mavis	name=Nondumiso Tembe	episodes=4 episodes, 2011 	
character=Brigette	name=Ashley Hinshaw	episodes=4 episodes, 2014 	
character=Gabe	name=Greg Collins	episodes=4 episodes, 2009 	
character=Suzanne McKittrick	name=Christina Moore	episodes=4 episodes, 2011-2012 	
character=Don Bartolo	name=Del Zamora	episodes=4 episodes, 2011-2012 	
character=Jenny	name=Stacy Haiduk	episodes=4 episodes, 2013-2014 	
character=Vince	name=Brett Rickaby	episodes=4 episodes, 2014 	
character=Emory Broome	name=Chris Butler	episodes=4 episodes, 2011-2012 	
character=Young Tara	name=Avion Baker	episodes=4 episodes, 2008-2012 	
character=Nigel Beckford	name=Henri Lubatti	episodes=4 episodes, 2012 	
character=Sweetie Des Arts	name=Jennifer Hasty	episodes=4 episodes, 2008-2012 	
character=Ronnie	name=Dustin Ingram	episodes=4 episodes, 2014 	
character=Mack Rattray	name=James Parks	episodes=4 episodes, 2008-2011 	
character=Belinda	name=Brianne Davis	episodes=4 episodes, 2013-2014 	
character=Becky	name=Blaine Saunders	episodes=4 episodes, 2011 	
character=Chelsea	name=Skyler Vallo	episodes=4 episodes, 2012 	
character=Crystal	name=Haley Brooke Walker	episodes=4 episodes, 2013-2014 	
character=Authority Guard Captain	name=Charlotta Mohlin	episodes=4 episodes, 2012 	
character=Camp Guard 	name=Ingo Neuhaus	episodes=4 episodes, 2013 	
character=Troy	name=Brett Lorenzini	episodes=4 episodes, 2014 	
character=Claudija	name=Helen Sadler	episodes=3 episodes, 2012-2013 	
character=Siren 	name=Chanon Finley	episodes=2 episodes, 2013 	
character=Siren 	name=Jodie Turner-Smith	episodes=2 episodes, 2013 	
character=Denise Rattray	name=Karina Logue	episodes=3 episodes, 2008 	
character=Randi Sue	name=Danielle James	episodes=3 episodes, 2008 	
character=Malcolm	name=Andrew Rothenberg	episodes=3 episodes, 2008 	
character=Diane	name=Aunjanue Ellis	episodes=3 episodes, 2008 	
character=Timbo	name=Dane DeHaan	episodes=3 episodes, 2011 	
character=Luis Patiño	name=Peter Macdissi	episodes=3 episodes, 2011 	
character=Wayne	name=Jeremy Denzlinger	episodes=3 episodes, 2008 	
character=Mayor Norris	name=William Schallert	episodes=3 episodes, 2008-2011 	
character=Chuck	name=Kanin Howell	episodes=3 episodes, 2008 	
character=Brian Eller	name=Brian Geraghty	episodes=3 episodes, 2012 	
character=Stan	name=Ed Quinn	episodes=3 episodes, 2009 	
character=Cindy Marshall	name=Stacie Rippy	episodes=3 episodes, 2008 	
character=Hugo	name=Chris Gartin	episodes=3 episodes, 2009 	
character=Hank	name=John Hillard	episodes=3 episodes, 2009-2010 	
character=Alexander Drew	name=Jacob Hopkins	episodes=3 episodes, 2012 	
character=GrabbitQuik Clerk	name=Lorin McCraley	episodes=3 episodes, 2008-2013 	
character=Random Frenzier	name=Valorie Hubbard	episodes=3 episodes, 2009 	
character=Man at Bar	name=Larry Udy	episodes=3 episodes, 2008-2014 	
character=Amber Mills	name=Natalie Hall	episodes=3 episodes, 2014 	
character=Coralee	name=Lauren Pritchard	episodes=3 episodes, 2009-2011 	
character=Vonetta	name=Missy Doty	episodes=3 episodes, 2009-2011 	
character=Kitch Maynard	name=Grey Damon	episodes=3 episodes, 2010 	
character=Tammy	name=Carlson Young	episodes=3 episodes, 2010 	
character=Jessie	name=Matt Cook	episodes=3 episodes, 2013 	
character=Suzanne Rico	name=Suzanne Rico	episodes=3 episodes, 2009-2012 	
character=Leda	name=Brianna Brown	episodes=3 episodes, 2012 	
character=Dr. Ludwig	name=Marcia DeRousse	episodes=3 episodes, 2009-2014 	
character=Luther	name=E.J. Callahan	episodes=3 episodes, 2011 	
character=Young Sookie	name=Zenali Turner	episodes=3 episodes, 2008-2012 	
character=Jerome	name=Eugene Byrd	episodes=3 episodes, 2014 	
character=Morris	name=Mark Withers	episodes=3 episodes, 2013 	
character=Mack	name=Robert Baker	episodes=3 episodes, 2014 	
character=Ray	name=James Jordan	episodes=3 episodes, 2012 	
character=Matt	name=Brian Poth	episodes=3 episodes, 2013-2014 	
character=Lou	name=Lucas Adams	episodes=3 episodes, 2014 	
character=Claudia	name=Emma Greenwell	episodes=3 episodes, 2012 	
character=Tyrese	name=Johnny Ray Gill	episodes=3 episodes, 2012 	
character=Doug	name=Jayden Lund	episodes=3 episodes, 2011-2012 	
character=Reverend Skinner	name=David Bickford	episodes=3 episodes, 2012-2014 	
character=Maria	name=Valenzia Algarin	episodes=3 episodes, 2011-2012 	
character=Lucinda	name=Chelsea Ricketts	episodes=3 episodes, 2014 	
character=Ruscio	name=Kofi Natei	episodes=3 episodes, 2013 	
character=Todd Jeffries	name=Jonathan Kowalsky	episodes=3 episodes, 2012 	
character=Smarmy Guard	name=Michael Maize	episodes=3 episodes, 2013 	
character=Iraqi Man	name=Mike Akrawi	episodes=3 episodes, 2012 	
character=Sarah Compton	name=Isabella Kai	episodes=3 episodes, 2014 	
character=Cart Pusher	name=Jim Hoffmaster	episodes=3 episodes, 2013 	
character=Churchgoer Man	name=Ben Zelevansky	episodes=3 episodes, 2014 	
character=Churchgoer Woman	name=Holly Hawkins	episodes=3 episodes, 2014 	
character=Dancer	name=Nick Lanzisera	episodes=3 episodes, 2012 	
character=Dancer	name=Rachael Markarian	episodes=3 episodes, 2012 	
character=Officer Trap	name=Poncho Hodges	episodes=2 episodes, 2011 	
character=Jemarcus Kessler	name=Lawrence Adimora	episodes=2 episodes, 2012 	
character=Authority Guard 	name=Ezra Masters	episodes=2 episodes, 2010-2013 	
character=Frat Boy	name=Josh Kelly	episodes=2 episodes, 2008 	
character=Kelly	name=Jessica Stroup	episodes=2 episodes, 2008 	
character=Bill Maher	name=Bill Maher	episodes=2 episodes, 2008 	
character=Sav-A-Bunch Shopper	name=Lorna Scott	episodes=2 episodes, 2008 	
character=Orry Dawson	name=Michael Bofshever	episodes=2 episodes, 2008-2009 	
character=Neighbor	name=Melanie MacQueen	episodes=2 episodes, 2008 	
character=Dawn	name=Melanie MacQueen	episodes=2 episodes, 2008 	
character=Neil Jones	name=Kevin McHale	episodes=2 episodes, 2008 	
character=Rourke	name=Rourke	episodes=2 episodes, 2008 	
character=Rourke	name=P.J. O	episodes=2 episodes, 2008 	
character=P.J. O	name=P.J. O	episodes=2 episodes, 2008 	
character=P.J. O	name=Rourke	episodes=2 episodes, 2008 	
character=Sue Ann Merlotte	name=Judy Prescott	episodes=2 episodes, 2008-2009 	
character=Uncle Bartlett	name=Cheyenne Wilbur	episodes=2 episodes, 2008 	
character=Good Old Boy Vampire	name=John Henry Canavan	episodes=2 episodes, 2008 	
character=Young Sam	name=Martin Spanjers	episodes=2 episodes, 2008-2009 	
character=Sav-A-Bunch Manager	name=John F. Schaffer	episodes=2 episodes, 2008 	
character=Mean Looking Frenzier	name=Price Carson	episodes=2 episodes, 2009 	
character=Dr. Robideaux	name=Dakin Matthews	episodes=2 episodes, 2010 	
character=Ludis	name=Jack Krizmanich	episodes=2 episodes, 2009 	
character=Ms. Suzuki	name=Tamlyn Tomita	episodes=2 episodes, 2013 	
character=Minister	name=Stewart Skelton	episodes=2 episodes, 2008-2010 	
character=Teenage Customer	name=David Lewis	episodes=2 episodes, 2008 	
character=Dirk	name=Preston Jones	episodes=2 episodes, 2009 	
character=Judge Clements	name=Farrell	episodes=2 episodes, 2012 	
character=Judge Clements	name=Conor O	episodes=2 episodes, 2012 	
character=Man with Beer	name=Brendan Patrick Connor	episodes=2 episodes, 2008 	
character=Authority Gate Guard	name=David J. Wright	episodes=2 episodes, 2012-2013 	
character=Desk Clerk	name=Ailsa Marshall	episodes=2 episodes, 2009 	
character=Cammy	name=Cherilyn Wilson	episodes=2 episodes, 2012 	
character=Guru Sanbir Dutta	name=Shishir Kurup	episodes=2 episodes, 2014 	
character=Dancer 	name=Jennifer Hamilton	episodes=2 episodes, 2009 	
character=Paul McClatchy	name=James McCauley	episodes=2 episodes, 2011 	
character=News Anchor	name=Sharon Tay	episodes=2 episodes, 2008-2009 	
character=Young Jason	name=Labon Hester	episodes=2 episodes, 2008 	
character=Matt	name=Randy Wayne	episodes=2 episodes, 2011 	
character=Mary Wright	name=Valarie Pettiford	episodes=2 episodes, 2013 	
character=Hostess	name=Jeanne Baron	episodes=2 episodes, 2009-2010 	
character=Louie	name=Bryan Becker	episodes=2 episodes, 2010 	
character=Don Santiago	name=Carlo	episodes=2 episodes, 2011 	
character=Don Santiago	name=East	episodes=2 episodes, 2011 	
character=Don Santiago	name=Ismael 	episodes=2 episodes, 2011 	
character=Head Priest	name=Ugo Bianchi	episodes=2 episodes, 2011 	
character=Creepy Biker	name=Andy Mackenzie	episodes=2 episodes, 2010 	
character=Jerry McCafferty	name=John Burke	episodes=2 episodes, 2010 	
character=Joyce Watney	name=Galadriel Stineman	episodes=2 episodes, 2011 	
character=Barbara Pelt	name=Linda Purl	episodes=2 episodes, 2012 	
character=T-Dub	name=Ronnie Gene Blevins	episodes=2 episodes, 2010 	
character=Hiroki	name=Louis Ozawa	episodes=2 episodes, 2014 	
character=Infomercial Sound Mixer	name=Charlaine Harris	episodes=2 episodes, 2009-2014 	
character=Bufort Norris	name=Greg Cipes	episodes=2 episodes, 2010 	
character=Natalie	name=Kate Luyben	episodes=2 episodes, 2010 	
character=Gordon Pelt	name=Steve Rankin	episodes=2 episodes, 2012 	
character=Year Old Faerie Girl 	name=Natalie Dreyfuss	episodes=2 episodes, 2013 	
character=Mailman Vampire	name=Gary Kraus	episodes=2 episodes, 2008-2014 	
character=Bruce	name=Shaun J. Brown	episodes=2 episodes, 2013 	
character=Vampire Dancer GO-GO Dancer	name=Cheryl Lyone	episodes=2 episodes, 2008 	
character=Vampire Dancer	name=Jull Weber	episodes=2 episodes, 2008 	
character=La Donna	name=Lauren Weedman	episodes=2 episodes, 2011 	
character=Year Old Faerie Girl 	name=Hannah Kasulka	episodes=2 episodes, 2013 	
character=Caroline Bellefleur	name=Helen Slayton-Hughes	episodes=2 episodes, 2013 	
character=Little Girl	name=Caitlin Carmichael	episodes=2 episodes, 2011 	
character=Elijah Stormer	name=Keram Malicki-Sánchez	episodes=2 episodes, 2012 	
character=Mustard	name=Jessy Hodges	episodes=2 episodes, 2013 	
character=Year Old Faerie Girl 	name=Jordan Monaghan	episodes=2 episodes, 2013 	
character=Charles Dupont	name=Matthew Holmes	episodes=2 episodes, 2014 	
character=Minus	name=Gilbert Owuor	episodes=2 episodes, 2014 	
character=Zander	name=Ken Luckey	episodes=2 episodes, 2012 	
character=Turk	name=Kevin Fry	episodes=2 episodes, 2010 	
character=Witch 	name=Diahnna Nicole Baxter	episodes=2 episodes, 2011 	
character=Prisoner Jimmy	name=Stephen Monroe Taylor	episodes=2 episodes, 2012 	
character=Witch 	name=Dahlia Waingort Guigui	episodes=2 episodes, 2011 	
character=Camera Operator	name=Brian Treitler	episodes=2 episodes, 2011 	
character=Jonathan	name=Jonathan Baron	episodes=2 episodes, 2013 	
character=Junior	name=Todd Giebenhain	episodes=2 episodes, 2012 	
character=Sorority Girl	name=Rachel Sterling	episodes=2 episodes, 2012 	
character=Tracy	name=Anastasia Ganias	episodes=2 episodes, 2012 	
character=Witch 	name=Silvia Curiel	episodes=2 episodes, 2011 	
character=Siren 	name=Chloe Holmes	episodes=2 episodes, 2013 	
character=Bank Employee	name=Jeanine Anderson	episodes=2 episodes, 2008-2013 	
character=Witch 	name=Misha Gonz-Cirkl	episodes=2 episodes, 2011 	
character=AHQ Guard 	name=Jason E. Kelley	episodes=2 episodes, 2012 	
character=Chuck	name=Drew James	episodes=2 episodes, 2011 	
character=Hartzell	name=Todd Quillen	episodes=2 episodes, 2013 	
character=Fangtasia Dancer	name=Kendall Lake	episodes=2 episodes, 2011 	
character=Year Old Faerie Girl 	name=Sam Schuder	episodes=2 episodes, 2013 	
character=Puppeteer	name=Bernhard Eichholz	episodes=2 episodes, 2009-2011 	
character=Iraqi Teen	name=Dave Marlin	episodes=2 episodes, 2012 	
character=Year Old Faerie Girl 	name=Chloe East	episodes=2 episodes, 2013 	
character=Camp Guard 	name=David Landry	episodes=2 episodes, 2013 	
character=Lab Coat Scientist	name=Troy Vincent	episodes=2 episodes, 2013 	
character=Burly H-Vamp	name=Derek Mears	episodes=2 episodes, 2014 	
character=Dancer	name=Tyne Stecklein	episodes=2 episodes, 2012 	
character=Somchai	name=Danielle Yu	episodes=2 episodes, 2013 	
character=Prisoner Kate	name=Alissa Jessup	episodes=2 episodes, 2012 	
character=White Room Vampire	name=Aileen Burdock	episodes=2 episodes, 2013 	
character=Sickly-Looking Vampire	name=Erik Passoja	episodes=2 episodes, 2013 	
character=Dancer	name=Lockhart Brownlie	episodes=2 episodes, 2012 	
character=Anguished Woman	name=Kendall Jones	episodes=2 episodes, 2014 	
