# http://fitlayout.github.io/resource/art56 -> https://www.imdb.com/title/tt5290382/fullcredits/
character=Gene Devier	name=Adam Zastrow	episodes=1 episode, 2017 	
character=Benjamin	name=Jason Davis	episodes=1 episode, 2017 	
character=Legal Rep	name=Jason Davis	episodes=1 episode, 2017 	
character=Richard Speck	name=Jack Erdie	episodes=1 episode, 2017 	
character=Prison Officer 	name=Javon Johnson	episodes=1 episode, 2017 	
character=Jim Conor	name=Tommy Nohilly	episodes=1 episode, 2017 	
character=Businessman	name=Ashley Smith	episodes=1 episode, 2017 	
character=Kid 	name=Jaiden Edwards	episodes=1 episode, 2019 	
character=Monte Rissell	name=Sam Strike	episodes=1 episode, 2017 	
character=Peter Rathman	name=Jordan Gelber	episodes=1 episode, 2017 	
character=Dr. Henry Cale	name=Andrew Sensenig	episodes=1 episode, 2017 	
character=Patrick	name=Joshua Wills	episodes=1 episode, 2017 	
character=Reception Prison Guard	name=Giles Wright	episodes=1 episode, 2017 	
character=Charles Sanders	name=Billy Slaughter	episodes=1 episode, 2019 	
character=Overnight PD	name=Perris Drew	episodes=1 episode, 2019 	
character=Kid 	name=Jordan Banks	episodes=1 episode, 2019 	
character=Pinto Driver	name=Austin Archer	episodes=1 episode, 2017 	
character=Uniformed Officer	name=James Matthew Poole	episodes=1 episode, 2017 	
character=Melvin Ware	name=Euseph Messiah	episodes=1 episode, 2019 	
character=Deputy	name=David Carranza	episodes=1 episode, 2019 	
character=Virginia Sheriff	name=David Carranza	episodes=1 episode, 2019 	
character=Kid 	name=Davon Reynolds	episodes=1 episode, 2019 	
character=Detective Barr	name=Todd Faulkner	episodes=1 episode, 2017 	
character=Quantico Instructor	name=Carter Bratton	episodes=1 episode, 2017 	
character=Shoe Store Clerk	name=Adam Kroloff	episodes=1 episode, 2017 	
character=Commonwealth Attorney	name=David Healy	episodes=1 episode, 2019 	
character=Older Kid 	name=Malcolm Thompson	episodes=1 episode, 2019 	
character=Mrs. Wade	name=Enid Graham	episodes=1 episode, 2017 	
character=Esther Mayweather	name=Rhoda Griffis	episodes=1 episode, 2017 	
character=Leo Buchanan	name=Thomas Philip O	episodes=1 episode, 2017 	
character=Leo Buchanan	name=Neill	episodes=1 episode, 2017 	
character=Rose Barnwright-Janderman	name=Jackie Renee Robinson	episodes=1 episode, 2017 	
character=Legal Rep	name=John Walpole	episodes=1 episode, 2017 	
character=Frank	name=John Walpole	episodes=1 episode, 2017 	
character=Prison Guard Jim	name=Greg Lang	episodes=1 episode, 2017 	
character=William Pierce Jr.	name=Michael Filipowich	episodes=1 episode, 2019 	
character=Kid 	name=Jaquae Addison Pascal	episodes=1 episode, 2019 	
character=Dwight	name=Tobias Segal	episodes=1 episode, 2017 	
character=Female Officer	name=Cindy Jackson	episodes=1 episode, 2017 	
character=Julie	name=Jordyn DiNatale	episodes=1 episode, 2017 	
character=Trainee Mike	name=Ben Mathews	episodes=1 episode, 2017 	
character=Andre	name=Steven Daniel Brun	episodes=1 episode, 2019 	
character=CMF Doctor	name=Munro M. Bonnell	episodes=1 episode, 2019 	
character=Kid 	name=Roderick Byrd	episodes=1 episode, 2019 	
character=Reporter 	name=Shelby Camilla	episodes=1 episode, 2019 	
character=Dwight	name=Cynthia Mace	episodes=1 episode, 2017 	
character=Mom	name=Cynthia Mace	episodes=1 episode, 2017 	
character=Trainee Mark	name=Jordan Kantola	episodes=1 episode, 2017 	
character=Paul Bateson	name=Morgan Kelly	episodes=1 episode, 2019 	
character=Agent	name=Nick Choksi	episodes=1 episode, 2019 	
character=Reporter 	name=Chandra Michaels	episodes=1 episode, 2019 	
character=Marine 	name=Jimel Atkins	episodes=1 episode, 2019 	
character=Kid 	name=Jimar Mangham	episodes=1 episode, 2019 	
character=Anchorman	name=Matt Walton	episodes=1 episode, 2017 	
character=Alvin Moran	name=Hamilton Clancy	episodes=1 episode, 2017 	
character=Rosemary Gonzales	name=Judith Delgado	episodes=1 episode, 2017 	
character=Trainee Chris	name=Zach Steffey	episodes=1 episode, 2017 	
character=Don Graham	name=Andy Umberger	episodes=1 episode, 2019 	
character=Sgt. Willard Stokes	name=Jeff Pope	episodes=1 episode, 2019 	
character=CMF Guard 	name=Elijah Everett	episodes=1 episode, 2019 	
character=Homer Williams	name=Myles Cranford	episodes=1 episode, 2019 	
character=Ernest	name=Kevin Tre	episodes=1 episode, 2019 	
character=Ernest	name=Patterson	episodes=1 episode, 2019 	
character=Marine 	name=Donnell	episodes=1 episode, 2019 	
character=Marine 	name=John O	episodes=1 episode, 2019 	
character=Ruth Moran	name=Amelia Campbell	episodes=1 episode, 2017 	
character=D.A. Peterson	name=Dashiell Eaves	episodes=1 episode, 2017 	
character=Trainee Steve	name=Leighton Samuels	episodes=1 episode, 2017 	
character=David Berkowitz	name=Oliver Cooper	episodes=1 episode, 2019 	
character=Tim	name=Alton Fitzgerald White	episodes=1 episode, 2019 	
character=Annaliese Stilman	name=Lena Olin	episodes=1 episode, 2017 	
character=Nurse	name=Meredith Jackson	episodes=1 episode, 2017 	
character=Ken	name=Sean Grennan	episodes=1 episode, 2017 	
character=Trainee Sullivan	name=Chris James Boylan	episodes=1 episode, 2017 	
character=CMF Guard 	name=Brian Stapf	episodes=1 episode, 2019 	
character=Faye Williams	name=Rita Gregory	episodes=1 episode, 2019 	
character=William	name=Evander Duck Jr.	episodes=1 episode, 2017 	
character=Marge	name=Carla Brandberg	episodes=1 episode, 2017 	
character=Mary Clark	name=Hayden Saunier	episodes=1 episode, 2017 	
character=Charles Manson	name=Damon Herriman	episodes=1 episode, 2019 	
character=Cheryl Todd	name=Grace Rex	episodes=1 episode, 2017 	
character=Gore	name=Robert Sella	episodes=1 episode, 2017 	
character=Iowa Reporter 	name=Courtney DeCosky	episodes=1 episode, 2017 	
character=CMF Guard	name=Jacob Berger	episodes=1 episode, 2019 	
character=Gate Agent	name=Liza Fernandez	episodes=1 episode, 2019 	
character=Lily Mullen	name=Sarah Wilson	episodes=1 episode, 2017 	
character=Iowa Reporter 	name=L. Derek Leonidoff	episodes=1 episode, 2017 	
character=Security Guard	name=Brandon Hirsch	episodes=1 episode, 2019 	
character=William Henry Hance	name=Corey Allen	episodes=1 episode, 2019 	
character=Mike Mullen	name=Eric William Morris	episodes=1 episode, 2017 	
character=Realtor	name=Laura Poe	episodes=1 episode, 2017 	
character=Iowa Police Captain	name=Paul Hickert	episodes=1 episode, 2017 	
character=Tex Watson	name=Christopher Backus	episodes=1 episode, 2019 	
character=Journalist 	name=Allie McCulloch	episodes=1 episode, 2019 	
character=Agent Robbins	name=P.J. Marshall	episodes=1 episode, 2019 	
character=Iowa Police Officer 	name=Adam Daveline	episodes=1 episode, 2017 	
character=Tom	name=Jeremy Gabriel	episodes=1 episode, 2019 	
character=Park Mother	name=Anna Magoulas	episodes=1 episode, 2019 	
character=Peg Shepard	name=Heidi Mueller Smith	episodes=1 episode, 2019 	
character=Journalist 	name=Andy S. Allen	episodes=1 episode, 2019 	
character=Texas Prison Guard	name=Christopher A Wright	episodes=1 episode, 2019 	
character=Iowa Police Officer 	name=David Bodenschatz	episodes=1 episode, 2017 	
character=Elmer Wayne Henley Jr.	name=Robert Aramayo	episodes=1 episode, 2019 	
character=Journalist 	name=Brian Byers	episodes=1 episode, 2019 	
character=Police Sergeant	name=Gabe Wood	episodes=1 episode, 2019 	
character=Warren	name=Robert Farrior	episodes=1 episode, 2019 	
character=Iowa Police Officer 	name=Ari Blinder	episodes=1 episode, 2017 	
character=Wade Marcus	name=Rich Morrow	episodes=1 episode, 2019 	
character=Calvin	name=Raymond Seay	episodes=1 episode, 2019 	
character=Iowa Police Officer 	name=Alexander Stine	episodes=1 episode, 2017 	
character=Wesley	name=Joshua Montgomery	episodes=1 episode, 2019 	
character=Recruit Matt	name=Matt Ruffo	episodes=1 episode, 2019 	
character=Iowa Police Lieutenant	name=Patrick Noonan	episodes=1 episode, 2017 	
character=Reporter 	name=Tom Stoviak	episodes=1 episode, 2019 	
character=Charles Reynolds	name=Circus-Szalewski	episodes=1 episode, 2019 	
character=Mrs. Dickinson	name=Samantha Steinmetz	episodes=1 episode, 2019 	
character=Sammy Davis Jr.	name=David Hayes	episodes=1 episode, 2019 	
character=Frank Sinatra	name=Nick D	episodes=1 episode, 2019 	
character=Frank Sinatra	name=Egidio	episodes=1 episode, 2019 	
character=Deputy Director 	name=Michael Rubino	episodes=1 episode, 2019 	
character=Annie Rogers	name=Deja Dee	episodes=1 episode, 2019 	
character=Vickie Terrell	name=Brandy Grant	episodes=1 episode, 2019 	
character=Sales Agent 	name=Amaris Davidson	episodes=1 episode, 2019 	
character=Sales Agent 	name=Emily Berry	episodes=1 episode, 2019 	
character=Officer Lewis	name=Thomas Daniel Smith	episodes=1 episode, 2019 	
character=Angry Man 	name=Chris Lamberth	episodes=1 episode, 2019 	
character=Angry Woman 	name=Shanessa Sweeney	episodes=1 episode, 2019 	
character=Dekalb Chief	name=Scott A. Martin	episodes=1 episode, 2019 	
character=Angry Man 	name=Denzel Johnson	episodes=1 episode, 2019 	
