# http://fitlayout.github.io/resource/art40 -> https://www.imdb.com/title/tt0944947/fullcredits/
character=Eddard 	name=Sean Bean	episodes=10 episodes, 2011 	
character=Thoros of Myr	name=Paul Kaye	episodes=10 episodes, 2013-2017 	
character=Selyse Baratheon	name=Tara Fitzgerald	episodes=10 episodes, 2013-2015 	
character=Jojen Reed	name=Thomas Brodie-Sangster	episodes=10 episodes, 2013-2014 	
character=Shireen Baratheon	name=Kerry Ingram	episodes=10 episodes, 2013-2015 	
character=Bowen Marsh	name=Michael Condron	episodes=10 episodes, 2015-2016 	
character=Khal Drogo	name=Jason Momoa	episodes=10 episodes, 2011-2012 	
character=Euron Greyjoy	name=Pilou Asbæk	episodes=9 episodes, 2016-2019 	
character=Edmure Tully	name=Tobias Menzies	episodes=9 episodes, 2013-2019 	
character=Tyene Sand	name=Rosabell Laurenti Sellers	episodes=9 episodes, 2015-2017 	
character=Lyanna Mormont	name=Bella Ramsey	episodes=9 episodes, 2016-2019 	
character=Robin Arryn	name=Lino Facioli	episodes=9 episodes, 2011-2019 	
character=Renly Baratheon	name=Gethin Anthony	episodes=8 episodes, 2011-2012 	
character=Locke	name=Noah Taylor	episodes=8 episodes, 2013-2014 	
character=Obara Sand	name=Keisha Castle-Hughes	episodes=8 episodes, 2015-2017 	
character=Hizdahr zo Loraq	name=Joel Fry	episodes=8 episodes, 2014-2015 	
character=Nymeria Sand	name=Jessica Henwick	episodes=8 episodes, 2015-2017 	
character=Septa Unella	name=Hannah Waddingham	episodes=8 episodes, 2015-2016 	
character=Myranda	name=Charlotte Hope	episodes=8 episodes, 2013-2016 	
character=Kovarro	name=Steven Cole	episodes=8 episodes, 2012 	
character=Tommen Baratheon	name=Callum Wharry	episodes=8 episodes, 2011-2012 	
character=Myrcella Baratheon	name=Aimee Richardson	episodes=8 episodes, 2011-2012 	
character=Marei	name=Josephine Gillan	episodes=8 episodes, 2012-2019 	
character=Robert Baratheon	name=Mark Addy	episodes=7 episodes, 2011 	
character=Oberyn Martell	name=Pedro Pascal	episodes=7 episodes, 2014 	
character=Yoren	name=Francis Magee	episodes=7 episodes, 2011-2012 	
character=Blackfish	name=Clive Russell	episodes=7 episodes, 2013-2016 	
character=Brynden 	name=Clive Russell	episodes=7 episodes, 2013-2016 	
character=Tully	name=Clive Russell	episodes=7 episodes, 2013-2016 	
character=Olyvar	name=Will Tudor	episodes=7 episodes, 2013-2015 	
character=Rakharo	name=Elyes Gabel	episodes=7 episodes, 2011-2012 	
character=Bernadette	name=Sara Dylan	episodes=6 episodes, 2012-2017 	
character=Walder Frey	name=David Bradley	episodes=6 episodes, 2011-2017 	
character=Benjen Stark	name=Joseph Mawle	episodes=6 episodes, 2011-2017 	
character=Orell	name=Mackenzie Crook	episodes=6 episodes, 2013 	
character=Areo Hotah	name=Deobia Oparei	episodes=6 episodes, 2015-2016 	
character=Septa Mordane	name=Susan Brown	episodes=6 episodes, 2011 	
character=Black Walder Rivers	name=Tim Plester	episodes=6 episodes, 2013-2016 	
character=Qotho	name=Dar Salim	episodes=6 episodes, 2011 	
character=Dontos Hollard	name=Tony Way	episodes=6 episodes, 2012-2014 	
