# http://fitlayout.github.io/resource/art62 -> https://www.imdb.com/title/tt2356777/fullcredits/
character=Veronica Chessani	name=Agnes Albright	episodes=3 episodes, 2015 	
character=Richard Brune	name=Christian Campbell	episodes=3 episodes, 2015 	
character=Erica Jonson	name=Courtney Halverson	episodes=3 episodes, 2015 	
character=Commander Speece	name=Don Yesso	episodes=3 episodes, 2014 	
character=Danielle Delvayo	name=Carla Vila	episodes=3 episodes, 2015 	
character=Gonzales 	name=Benjamín Benítez	episodes=3 episodes, 2015 	
character=Dan O	name=Michael Graziadei	episodes=2 episodes, 2019 	
character=Brien	name=Michael Graziadei	episodes=2 episodes, 2019 	
character=Gonzales 	name=Robert Renderos	episodes=3 episodes, 2015 	
character=Stan	name=Ronnie Gene Blevins	episodes=2 episodes, 2015 	
character=Mike Ardoin	name=Corbin Pitts	episodes=3 episodes, 2019 	
character=Edward Hoyt	name=Michael Rooker	episodes=2 episodes, 2019 	
character=Billy Lee Tuttle	name=Jay O. Sanders	episodes=2 episodes, 2014 	
character=Eddie Velcoro	name=Fred Ward	episodes=2 episodes, 2015 	
character=Beth	name=Lili Simmons	episodes=2 episodes, 2014 	
character=Joel Theriot	name=Shea Whigham	episodes=2 episodes, 2014 	
character=Danny Fontenot	name=Christopher Berry	episodes=2 episodes, 2014 	
character=Charlie Lange	name=Brad Carter	episodes=2 episodes, 2014 	
character=Robert Doumain	name=Johnny McPhail	episodes=2 episodes, 2014 	
character=Junius	name=Steven Williams	episodes=2 episodes, 2019 	
character=Becca Hays	name=Deborah Ayorinde	episodes=2 episodes, 2019 	
character=Will Purcell	name=Phoenix Elkin	episodes=2 episodes, 2019 	
character=Reggie Ledoux	name=Charles Halford	episodes=2 episodes, 2014 	
character=Lori	name=Jodi Balfour	episodes=2 episodes, 2019 	
character=Julie Purcell	name=Lena McCarthy	episodes=2 episodes, 2019 	
character=Jay Bunda	name=Greg Bryan	episodes=2 episodes, 2019 	
character=Shelly	name=Lindsay Musil	episodes=2 episodes, 2019 	
character=Danny Santos	name=Pedro Miguel Arce	episodes=2 episodes, 2015 	
character=Mrs. Harris	name=Molly Hagan	episodes=2 episodes, 2015 	
character=Lacey Lindel	name=Ashley Hinshaw	episodes=2 episodes, 2015 	
character=Mike Ardoin	name=Nathan Wetherington	episodes=2 episodes, 2019 	
character=Heather Hays	name=Sola Bamis	episodes=2 episodes, 2019 	
character=Ronnie Boyle	name=Lennon Morgan	episodes=2 episodes, 2019 	
character=James Boyle	name=Nick Basta	episodes=2 episodes, 2019 	
character=Lucy	name=Alyshia Ochse	episodes=2 episodes, 2014 	
character=Video Tech	name=Harlon Miller	episodes=2 episodes, 2014-2019 	
character=Amy Hays	name=Bailey Rae Fenderson	episodes=2 episodes, 2019 	
character=Vera Machiado	name=Miranda Rae Mayo	episodes=2 episodes, 2015 	
character=Detective Richard Kitting	name=Bojesse Christopher	episodes=2 episodes, 2019 	
character=Maisie Hart	name=Brighton Sharbino	episodes=2 episodes, 2014 	
character=Agnes	name=Weronika Rosati	episodes=2 episodes, 2015 	
character=Jew Diamond Dealer	name=Mark Chaet	episodes=2 episodes, 2015 	
character=Bart Sallis	name=Chet Grissom	episodes=2 episodes, 2015 	
character=Reporter	name=Michael A. Klucher	episodes=2 episodes, 2019 	
character=Lenny Tyler	name=Luke Edwards	episodes=2 episodes, 2015 	
character=Foreman	name=Lawrence Turner	episodes=2 episodes, 2019 	
character=Dan Howser	name=Mustafa Knight	episodes=2 episodes, 2015 	
character=State Trooper	name=Cullen Moss	episodes=2 episodes, 2019 	
character=Ginger	name=Joseph Sikora	episodes=2 episodes, 2014 	
character=News Anchor	name=Jancey Sheats	episodes=2 episodes, 2019 	
character=Will Davidson	name=Jamison Jones	episodes=2 episodes, 2015 	
character=Ventura County Medical Examiner	name=Anjul Nigam	episodes=2 episodes, 2015 	
character=Steve Mercer	name=Riley Smith	episodes=2 episodes, 2015 	
character=Catalast Executive	name=Ronny Cox	episodes=1 episode, 2015 	
character=Worried Man	name=Thomas W. Moore	episodes=2 episodes, 2019 	
character=Aspen Conroy	name=Cooper Roth	episodes=1 episode, 2015 	
character=Liz Danvers	name=Jodie Foster	episodes=1 episode 	
character=Evangeline Navarro	name=Kali Reis	episodes=1 episode 	
character=Hank Prior	name=John Hawkes	episodes=1 episode 	
character=Ted Corsaro	name=Christopher Eccleston	episodes=1 episode 	
character=Rose Aguineau	name=Fiona Shaw	episodes=1 episode 	
character=Betty Childress	name=Ann Dowd	episodes=1 episode, 2014 	
character=Major Leroy Salter	name=Paul Ben-Victor	episodes=1 episode, 2014 	
character=CID Clerk	name=Tim Bell	episodes=1 episode, 2014 	
character=Peter Prior	name=Finn Bennett	episodes=1 episode 	
character=Laurie Spencer	name=Elizabeth Reaser	episodes=1 episode, 2014 	
character=Toby	name=Dave Davis	episodes=1 episode, 2014 	
character=Kayla Malee	name=Anna Lambe	episodes=1 episode 	
character=Minister	name=Clarke Peters	episodes=1 episode, 2014 	
character=Mrs. Kelly	name=Tess Harper	episodes=1 episode, 2014 	
character=Julia	name=Aka Niviâna	episodes=1 episode 	
character=Chris Louviere	name=Robert Beitzel	episodes=1 episode, 2014 	
character=Teacher	name=Veronica Moonhill	episodes=1 episode, 2014 	
character=Bungalow Woman 	name=Aurielle Brimmer	episodes=1 episode, 2014 	
character=Leah	name=Isabella LaBlanc	episodes=1 episode 	
character=Call Girl	name=Kate Adair	episodes=1 episode, 2014 	
character=Chad	name=Kurt Krause	episodes=1 episode, 2014 	
character=Kelsey Burgess	name=Amber Carollo	episodes=1 episode, 2014 	
character=Drew Ledger	name=Gabe Begneaud	episodes=1 episode, 2014 	
character=Eddie Qavvik	name=Joel Montgrand	episodes=1 episode 	
character=Jimmy Ledoux	name=Jay Huguley	episodes=1 episode, 2014 	
character=Nurse	name=Kerry Cahill	episodes=1 episode, 2014 	
character=Tina	name=Jamie Elliott	episodes=1 episode, 2014 	
character=Lilly Hill	name=Terry Moore	episodes=1 episode, 2014 	
character=Theresa Weems	name=Laura Cayouette	episodes=1 episode, 2014 	
character=Mechanic	name=John Bernecker	episodes=1 episode, 2014 	
character=Kelly Reider	name=December Ensminger	episodes=1 episode, 2014 	
character=Priest	name=Seth Barrish	episodes=1 episode, 2019 	
character=Fiona Jackson	name=Kelsey Scott	episodes=1 episode, 2014 	
character=Carla Gwartney	name=Amy Brassette	episodes=1 episode, 2014 	
character=Erath Woman	name=Jennifer K. Dawson	episodes=1 episode, 2014 	
character=Joyce	name=Sprague Grayden	episodes=1 episode, 2015 	
character=Isabel Hoyt	name=Lauren Sweetser	episodes=1 episode, 2019 	
character=Regina	name=Valeri Ross	episodes=1 episode, 2019 	
character=Patty Faber	name=Candyce Hinkle	episodes=1 episode, 2019 	
character=Miss Delores	name=Carol Sutton	episodes=1 episode, 2014 	
character=Billy Lee Childress	name=David Stifel	episodes=1 episode, 2014 	
character=Steve	name=Henry Frost	episodes=1 episode, 2014 	
character=Police Officer	name=Silas Cooper	episodes=1 episode, 2014 	
character=Mikey	name=Austin Nash Chase	episodes=1 episode, 2015 	
character=Doctor	name=Marcus Lyle Brown	episodes=1 episode, 2019 	
character=Liquor Store Proprietor	name=Joseph Curtis Callender	episodes=1 episode, 2019 	
character=Burt	name=Douglas M. Griffin	episodes=1 episode, 2014 	
character=Examiner 	name=Michael Hartson	episodes=1 episode, 2014 	
character=Deiffenbach	name=Josh Clark	episodes=1 episode, 2015 	
character=Sam Whitehead	name=John Earl Jelks	episodes=1 episode, 2019 	
character=Jan	name=Andrea Frankle	episodes=1 episode, 2014 	
character=Bruce	name=Rio Hackford	episodes=1 episode, 2014 	
character=Tiger Thomas	name=Jon Eyez	episodes=1 episode, 2014 	
character=Anette	name=Charleigh Bryant-Stelly	episodes=1 episode, 2014 	
character=Child 	name=Floyd Herrington	episodes=1 episode, 2014 	
character=News Reporter	name=Rachel Wulff	episodes=1 episode, 2014 	
character=Neighbor 	name=Lorenzo Yearby	episodes=1 episode, 2019 	
character=Tyrone Weems	name=Todd Giebenhain	episodes=1 episode, 2014 	
character=Amanda Hebert	name=Patricia French	episodes=1 episode, 2014 	
character=Linda	name=Sharon Landry	episodes=1 episode, 2014 	
character=Mrs. James	name=Roxanne Hart	episodes=1 episode, 2019 	
character=Niece	name=Emyri Crutchfield	episodes=1 episode, 2019 	
character=Regina	name=Emyri Crutchfield	episodes=1 episode, 2019 	
character=Neighbor 	name=David T. Anthony	episodes=1 episode, 2019 	
character=Terry Guidry	name=Louis Herthum	episodes=1 episode, 2014 	
character=Examiner 	name=Gretchen Koerner	episodes=1 episode, 2014 	
character=Gordon DiCillo	name=Davi Jay	episodes=1 episode, 2014 	
character=Singer	name=Maryanne Marino	episodes=1 episode, 2014 	
character=Cliggot	name=Michael Adler	episodes=1 episode, 2015 	
character=Ted LaGrange	name=Shawn-Caulin Young	episodes=1 episode, 2019 	
character=State Trooper	name=Alex Collins	episodes=1 episode, 2019 	
character=Neighbor 	name=Sasha Morfaw	episodes=1 episode, 2019 	
character=Sister Alice	name=Silvia McClure	episodes=1 episode, 2019 	
character=Hunter	name=Owen Harn	episodes=1 episode, 2014 	
character=Henry Olivier	name=Ritchie Montgomery	episodes=1 episode, 2014 	
character=Deputy	name=Jason Kirkpatrick	episodes=1 episode, 2014 	
character=Tweeker	name=Regis Harrington	episodes=1 episode, 2014 	
character=Gena	name=Melinda Page Hamilton	episodes=1 episode, 2015 	
character=Attorney	name=Melinda Page Hamilton	episodes=1 episode, 2015 	
character=Motel Clerk	name=Timmy Sherrill	episodes=1 episode, 2019 	
character=Abbeville Sergeant	name=David Maldonado	episodes=1 episode, 2014 	
character=Tiger	name=Ike Jackson	episodes=1 episode, 2014 	
character=Gang	name=Ike Jackson	episodes=1 episode, 2014 	
character=Mr. Wyman	name=Brett Rice	episodes=1 episode, 2015 	
character=Young Deputy	name=John Charles Dickson	episodes=1 episode, 2019 	
character=Hoyt Foods Manager	name=Mark Cabus	episodes=1 episode, 2019 	
character=Police Records Officer	name=Paula Randol-Smith	episodes=1 episode, 2019 	
character=Junior Detective	name=Connell	episodes=1 episode, 2014 	
character=Junior Detective	name=Tom O	episodes=1 episode, 2014 	
character=Doctor	name=Shane Jacobsen	episodes=1 episode, 2014 	
character=Sheriff Russo	name=Bill Kalmenson	episodes=1 episode, 2015 	
character=Courthouse Manager	name=Virginia Kirby	episodes=1 episode, 2019 	
character=William Mayo	name=Daniel Ross Owens	episodes=1 episode, 2014 	
character=Rock	name=Lucky Johnson	episodes=1 episode, 2014 	
character=Accordion Player	name=Jo-El Sonnier	episodes=1 episode, 2014 	
character=Big Biker	name=Tim Sitarz	episodes=1 episode, 2019 	
character=Sallisaw Police Detective	name=Lee Osorio	episodes=1 episode, 2019 	
character=Mother	name=Karole Foreman	episodes=1 episode, 2019 	
character=Amelia	name=Karole Foreman	episodes=1 episode, 2019 	
character=Jennifer	name=Bree Williamson	episodes=1 episode, 2014 	
character=Charmaine Boudreaux	name=Azure Parsons	episodes=1 episode, 2014 	
character=Jake Herbert	name=Thomas Francis Murphy	episodes=1 episode, 2014 	
character=Sheriff Tate	name=Ron Clinton Smith	episodes=1 episode, 2014 	
character=Black	name=Tre Styles	episodes=1 episode, 2014 	
character=Woman	name=CC Castillo	episodes=1 episode, 2019 	
character=Big Biker	name=CC Castillo	episodes=1 episode, 2019 	
character=Erath Man	name=Charley Vance	episodes=1 episode, 2014 	
character=Abbeville Investigator	name=John Neisler	episodes=1 episode, 2014 	
character=Bogden	name=Joseph Gatt	episodes=1 episode, 2015 	
character=Judge	name=Gregg Daniel	episodes=1 episode, 2015 	
character=Conway Twitty	name=Jake La Botz	episodes=1 episode, 2015 	
character=Luca Reles	name=Allel Aimiche	episodes=1 episode, 2015 	
character=Lucy Ardoin	name=Ivy Dubreuil	episodes=1 episode, 2019 	
character=Dewall	name=Ólafur Darri Ólafsson	episodes=1 episode, 2014 	
character=Marie Fontenot	name=Wanetah Walmsley	episodes=1 episode, 2014 	
character=Rapist	name=Marco Rodríguez	episodes=1 episode, 2015 	
character=Gena	name=Marco Rodríguez	episodes=1 episode, 2015 	
character=Pit Boss	name=Peter Douglas	episodes=1 episode, 2015 	
character=Counselor	name=Mischa Hutchings	episodes=1 episode, 2019 	
character=Ronnie	name=Mischa Hutchings	episodes=1 episode, 2019 	
character=Deputy O	name=Grant Hockenbrough	episodes=1 episode, 2019 	
character=Bannon	name=Grant Hockenbrough	episodes=1 episode, 2019 	
character=Mitch	name=Joshua Leonard	episodes=1 episode, 2014 	
character=Psychologist	name=Bianca Taylor	episodes=1 episode, 2015 	
character=Travel Agent	name=Sheila Cutchlow	episodes=1 episode, 2015 	
character=Louise Purcell	name=Natalie Canerday	episodes=1 episode, 2019 	
character=Woodard Son	name=Elisha Pratt	episodes=1 episode, 2019 	
character=Mary	name=Becki Davis	episodes=1 episode, 2019 	
character=Smoking Woman	name=Katherine Forbes	episodes=1 episode, 2019 	
character=Detective	name=Terence Rosemore	episodes=1 episode, 2014 	
character=Biker 	name=Frank Duffy	episodes=1 episode, 2014 	
character=Alex	name=Yevgeniy Kartashov	episodes=1 episode, 2015 	
character=Assistant	name=Kerry Barker	episodes=1 episode, 2015 	
character=Roy Purcell	name=David Jensen	episodes=1 episode, 2019 	
character=Officer Martin	name=Lee Dawson	episodes=1 episode, 2019 	
character=Woman 	name=Julia Lashae	episodes=1 episode, 2019 	
character=Woodard Daughter	name=Cheyenne Seleah	episodes=1 episode, 2019 	
character=Lamar	name=Sam Malone	episodes=1 episode, 2014 	
character=California EPA Agent	name=Travis Hammer	episodes=1 episode, 2015 	
character=Madame	name=Linda DeMetrick	episodes=1 episode, 2015 	
character=Farmer	name=Mike Hickman	episodes=1 episode, 2019 	
character=Reporter 	name=Mark Pettit	episodes=1 episode, 2019 	
character=Gang	name=Jaren Mitchell	episodes=1 episode, 2014 	
character=Tiger	name=Jaren Mitchell	episodes=1 episode, 2014 	
character=Malkin	name=David Denman	episodes=1 episode, 2015 	
character=Girl 	name=Eva Pepaj	episodes=1 episode, 2015 	
character=Reporter 	name=Brian Gililland	episodes=1 episode, 2019 	
character=Man 	name=Tim Caffrey	episodes=1 episode, 2019 	
character=Bartender	name=Nic Pizzolatto	episodes=1 episode, 2014 	
character=Irma	name=Saundra Santiago	episodes=1 episode, 2015 	
