# http://fitlayout.github.io/resource/art14 -> https://www.imdb.com/title/tt0773262/fullcredits/
character=Santos Jimenez	name=Tony Amendola	episodes=3 episodes, 2007 	
character=Neil Perry	name=Sam Witwer	episodes=3 episodes, 2006 	
character=Jim McCourt	name=Raphael Sbarge	episodes=3 episodes, 2010 	
character=Valerie Hodges	name=Mary Mara	episodes=3 episodes, 2009 	
character=U.S. Marshal Cooper	name=Kenny Johnson	episodes=3 episodes, 2013 	
character=Arlene Schram	name=Nicole LaLiberte	episodes=3 episodes, 2012-2013 	
character=Steve Dorsey	name=Kyle Davis	episodes=3 episodes, 2011 	
character=Scott Smith	name=Jake Short	episodes=3 episodes, 2009 	
character=Nina Batista	name=Angela Alvarado	episodes=3 episodes, 2006 	
character=Tammy Okama	name=Jane McLean Guerra	episodes=3 episodes, 2008 	
character=Sussman	name=Scott Michael Morgan	episodes=3 episodes, 2013 	
character=Shanda	name=Lizette Carrion	episodes=3 episodes, 2006 	
character=Wendell Owens	name=Marc John Jefferies	episodes=3 episodes, 2008 	
character=Maura Bennett	name=Kathleen Noone	episodes=3 episodes, 2010 	
character=Mario Astorga	name=Jerry Zatarain Jr.	episodes=3 episodes, 2008 	
character=Toby Edwards	name=Vincent Pagano	episodes=3 episodes, 2008 	
character=Bill Bennett	name=Steve Eastin	episodes=3 episodes, 2010 	
character=Nick Smith	name=Roger Ranney	episodes=3 episodes, 2009 	
character=Nikki Wald	name=Alicia Lagano	episodes=3 episodes, 2009 	
character=Evidence Clerk	name=Monica Sanchez	episodes=3 episodes, 2012-2013 	
character=Diego	name=Justin Huen	episodes=3 episodes, 2011 	
character=Sara Prado	name=Paula Miranda	episodes=3 episodes, 2008 	
character=Reporter	name=Nicole Pettis	episodes=3 episodes, 2011 	
character=Carlos	name=Aramis Knight	episodes=3 episodes, 2008 	
character=Sal Price	name=Santiago Cabrera	episodes=2 episodes, 2012 	
character=Boyd Fowler	name=Shawn Hatosy	episodes=2 episodes, 2010 	
character=Leonis	name=Peter Macon	episodes=2 episodes, 2007 	
character=FBI Deputy Director Max Adams	name=Jonathan Banks	episodes=2 episodes, 2007 	
character=A.J. Yates	name=Aaron McCusker	episodes=2 episodes, 2013 	
character=Hector Estrada	name=Nestor Serrano	episodes=2 episodes, 2012 	
character=Det. McNamara	name=Scott William Winters	episodes=2 episodes, 2006 	
character=Valerie Castillo	name=Valerie Dillman	episodes=2 episodes, 2006 	
character=Freebo	name=Mike Erwin	episodes=2 episodes, 2008 	
character=Emily Birch	name=Angela Bettis	episodes=2 episodes, 2010 	
character=Tarla Grant	name=Suzanne Cryer	episodes=2 episodes, 2009 	
character=Jeremy Downs	name=Mark L. Young	episodes=2 episodes, 2006 	
character=Monique	name=Evelina Martinez	episodes=2 episodes, 2006 	
character=Carlos Fuentes	name=Joseph Julian Soria	episodes=2 episodes, 2010 	
character=Guzman	name=Nick Gomez	episodes=2 episodes, 2013 	
character=El Sapo	name=Nick Gomez	episodes=2 episodes, 2013 	
character=Javier 	name=Nick Gomez	episodes=2 episodes, 2013 	
character=Dan Mendell	name=Sean O	episodes=2 episodes, 2010 	
character=Dan Mendell	name=Bryan	episodes=2 episodes, 2010 	
character=Beth Dorsey	name=Jordana Spiro	episodes=2 episodes, 2011 	
character=Carissa Porter	name=Mariana Klaveno	episodes=2 episodes, 2011 	
character=Nathan Roberts	name=David Monahan	episodes=2 episodes, 2011 	
character=Ray Speltzer	name=Matt Gerald	episodes=2 episodes, 2012 	
character=Hotel Clerk	name=Saxon Trainor	episodes=2 episodes, 2010 	
character=Ed Hamilton	name=Aquino	episodes=2 episodes, 2013 	
character=Ed Hamilton	name=John D	episodes=2 episodes, 2013 	
character=Little Chino	name=Matthew Willig	episodes=2 episodes, 2007 	
character=Sgt. Lopez	name=Gino Montesinos	episodes=2 episodes, 2010 	
character=Yasmin Aragon	name=Jessica Camacho	episodes=2 episodes, 2010 	
character=Officer Martinez	name=Kurt Caceres	episodes=2 episodes, 2013 	
character=Little Brian	name=Brandon Killham	episodes=2 episodes, 2006-2007 	
character=Det. Weiss	name=Eli Goodman	episodes=2 episodes, 2007 	
character=Requisitions Officer	name=Kim Yarbrough	episodes=2 episodes, 2010 	
character=Welks	name=Dave Chittick	episodes=2 episodes, 2013 	
character=Federal Agent	name=Adam Lieberman	episodes=2 episodes, 2007 	
character=Receptionist	name=Roma Chugani	episodes=2 episodes, 2010 	
character=Anchor Woman	name=Suzanne Whang	episodes=2 episodes, 2013 	
character=Young Debra	name=Laura Marano	episodes=2 episodes, 2006 	
