# http://fitlayout.github.io/resource/art59 -> https://www.imdb.com/title/tt2306299/fullcredits/
character=Ealdorman 2	name=Chris McHallem	episodes=8 episodes, 2015-2019 	
character=Sigurd	name=Elijah O	episodes=8 episodes, 2016 	
character=Sigurd	name=Sullivan	episodes=8 episodes, 2016 	
character=Jorunn	name=Lulubelle Earley	episodes=8 episodes, 2018-2019 	
character=Shield Maiden	name=Eimear O	episodes=1 episode, 2014-2018 	
character=Shield Maiden	name=Grady	episodes=1 episode, 2014-2018 	
character=Prince Dir	name=Lenn Kudrjawizki	episodes=7 episodes, 2019-2020 	
character=Yidu	name=Dianne Doan	episodes=7 episodes, 2016 	
character=Gudrid	name=Noella Brennan	episodes=7 episodes, 2020 	
character=Einar	name=Steve Wall	episodes=7 episodes, 2014-2016 	
character=Chief Priest	name=Niall Ó Sioradáin	episodes=7 episodes, 2013-2020 	
character=Ivar	name=James Quinn Markey	episodes=7 episodes, 2016 	
character=Thyri	name=Elinor Crawley	episodes=6 episodes, 2013-2015 	
character=Earl Haraldson	name=Gabriel Byrne	episodes=6 episodes, 2013 	
character=Svein	name=David Pearse	episodes=6 episodes, 2013 	
character=Harbard	name=Kevin Durand	episodes=6 episodes, 2015-2016 	
character=Leif	name=Diarmaid Murtagh	episodes=6 episodes, 2013 	
character=Ganbaatar	name=Andrei Claude	episodes=6 episodes, 2019-2020 	
character=Prudentius	name=Seán T. Ó Meallaigh	episodes=6 episodes, 2016 	
character=Thora	name=Eve Connolly	episodes=6 episodes, 2018-2020 	
character=Cyneheard	name=Malcolm Douglas	episodes=6 episodes, 2016-2019 	
character=Bandit 2	name=Martin White	episodes=1 episode, 2013-2019 	
character=Viking Warrior	name=Neill	episodes=1 episode, 2013-2014 	
character=Viking Warrior	name=Dean O	episodes=1 episode, 2013-2014 	
character=Bjarke	name=Gary Kenneally	episodes=6 episodes, 2014-2015 	
character=Naad	name=Ian Lloyd Anderson	episodes=5 episodes, 2020 	
character=Alfred	name=Isaac O	episodes=5 episodes, 2016-2017 	
character=Alfred	name=Sullivan	episodes=5 episodes, 2016-2017 	
character=Elisef	name=Carrie Crowley	episodes=5 episodes, 2013-2014 	
character=Saxon Scribe	name=Jim Roche	episodes=5 episodes, 2017-2019 	
character=Tanaruz	name=Sinead Gormally	episodes=5 episodes, 2017 	
character=Waerferth the Scout	name=Des Carney	episodes=5 episodes, 2016 	
character=Bul	name=James Craze	episodes=5 episodes, 2017-2018 	
character=Alfred	name=Conor O	episodes=5 episodes, 2016 	
character=Alfred	name=Hanlon	episodes=5 episodes, 2016 	
character=Thorgrim	name=Rob Malone	episodes=5 episodes, 2017-2018 	
character=Ivar	name=Michael Power	episodes=4 episodes, 2016-2019 	
character=Bodyguard	name=Michael Power	episodes=4 episodes, 2016-2019 	
character=Shield Maiden	name=Orlaith Doherty	episodes=1 episode, 2018-2020 	
character=Siegfried	name=Greg Orvis	episodes=4 episodes, 2015 	
character=First Scout	name=Adam Goodwin	episodes=4 episodes, 2017 	
character=Guthrum	name=Anton Giltrap	episodes=4 episodes, 2016-2017 	
character=Ethelfled	name=Ann Skelly	episodes=4 episodes, 2018-2019 	
character=Ealswith	name=Cathy White	episodes=4 episodes, 2013-2017 	
character=Burgred	name=Aaron Monaghan	episodes=4 episodes, 2015 	
