# http://fitlayout.github.io/resource/art85 -> https://www.imdb.com/title/tt2442560/fullcredits/
character=Barney	name=Cosmo Jarvis	episodes=2 episodes, 2019 	
character=Peaky Blinders Gangster	name=Graham Parrington	episodes=1 episode, 2014-2017 	
character=Goliath	name=Dino Kelly	episodes=3 episodes, 2017 	
character=Frederico	name=Jake J. Meniani	episodes=3 episodes, 2017 	
character=Boxing Trainer	name=Craig Thomas Lambert	episodes=2 episodes, 2017 	
character=Billy Shelby	name=Etahan Picard-Edwards	episodes=3 episodes, 2017 	
character=Connor Nutley	name=Ralph Ineson	episodes=2 episodes, 2016 	
character=Plain Clothed Sabini Officer	name=Andrew Sheridan	episodes=2 episodes, 2014 	
character=UVF Hardman 1	name=Branwell Donaghey	episodes=2 episodes, 2014-2016 	
character=UVF Hardman	name=Brendan Gibson	episodes=2 episodes, 2014-2016 	
character=Karl Shelby	name=George Gwyther	episodes=2 episodes, 2016 	
character=Hayden Stagg	name=Stephen Graham	episodes=2 episodes, 2022 	
character=Vicente Changretta	name=Kenneth Colley	episodes=2 episodes, 2016 	
character=Mrs. Ross	name=Lizzy McInnerny	episodes=2 episodes, 2014 	
character=Brilliant Chang	name=Andrew Koji	episodes=2 episodes, 2019 	
character=Erasmus	name=Nigel Travis	episodes=2 episodes, 2013 	
character=Maguire	name=Keith Dunphy	episodes=2 episodes, 2013 	
character=Governor	name=Paul McEwan	episodes=2 episodes, 2014 	
character=Sabini Kidnap Gangster	name=Tom Mothersdale	episodes=2 episodes, 2014 	
character=Dimitri	name=Jassa Ahluwalia	episodes=2 episodes, 2016 	
character=Rosemary Johnson	name=Wanda Opalinska	episodes=2 episodes, 2014-2017 	
character=Mary Bone	name=Abbie Hern	episodes=2 episodes, 2022 	
character=Connor Dunn	name=Peter Coonan	episodes=2 episodes, 2022 	
character=Doctor Holford	name=Aneurin Barnard	episodes=2 episodes, 2022 	
character=Maitre D	name=Aaron Neil	episodes=2 episodes, 2016 	
character=Dot Kelly	name=Shashi Rami	episodes=2 episodes, 2022 	
character=Sam Ryan	name=Adam Best	episodes=2 episodes, 2022 	
character=The Swan	name=Brenda Lee Grech	episodes=2 episodes, 2019 	
character=Pat	name=Julian Moore-Cook	episodes=2 episodes, 2022 	
character=Siegfried	name=Jacob Wye	episodes=2 episodes, 2019 	
character=Daniel Preece	name=Peter Rylands	episodes=2 episodes, 2016 	
character=Winston Churchill	name=Richard McCabe	episodes=2 episodes, 2014 	
character=Jean Claude	name=Grégory Fitoussi	episodes=2 episodes, 2022 	
character=Dougie Bill	name=Jack Parr	episodes=2 episodes, 2022 	
character=William Letso	name=Peter Bankolé	episodes=2 episodes, 2016 	
character=Adam Parker	name=Samuel Blenkin	episodes=2 episodes, 2019 	
character=Henri	name=Assaad Bouab	episodes=2 episodes, 2022 	
