# http://fitlayout.github.io/resource/art22 -> https://www.imdb.com/title/tt2879552/fullcredits/
character=Front Desk Guy	name=Ben Beauchemin	episodes=1 episode, 2016 	
character=Buell Frazier	name=Brian Nicholas	episodes=1 episode, 2016 	
character=Duwayne	name=Leo Pady	episodes=1 episode, 2016 	
character=Attendant	name=Mark Richards	episodes=1 episode, 2016 	
character=El Conejo Manager	name=Lenno Britos	episodes=1 episode, 2016 	
character=Abraham Zapruder	name=Ira Einsohn	episodes=1 episode, 2016 	
character=Neighbor 	name=Andy Pogson	episodes=1 episode, 2016 	
character=Woman	name=Sarah White	episodes=1 episode, 2016 	
character=Smart Girl	name=Abigail Chu	episodes=1 episode, 2016 	
character=Agent Shanklin	name=Russell Ferrier	episodes=1 episode, 2016 	
character=Shooting Range Owner	name=Deborah Lobban	episodes=1 episode, 2016 	
character=Coach Boorman	name=Bruce Marshall	episodes=1 episode, 2016 	
character=Halloween Kid	name=Porter Schaefer	episodes=1 episode, 2016 	
character=Priest	name=Steve Whistance-Smith	episodes=1 episode, 2016 	
character=Rafael	name=Andres Munar	episodes=1 episode, 2016 	
character=Neighbor 	name=Jimi Shlag	episodes=1 episode, 2016 	
character=Skinny Woman	name=Sharon Forrester	episodes=1 episode, 2016 	
character=Henry Boland	name=Joel Cox	episodes=1 episode, 2016 	
character=ROTC Kid 	name=Joel Cox	episodes=1 episode, 2016 	
character=Calvin	name=Dylan Taylor	episodes=1 episode, 2016 	
character=Ray Monk Johnson	name=Michael Rhoades	episodes=1 episode, 2016 	
character=Anton	name=Vitali Makarov	episodes=1 episode, 2016 	
character=Reporter 	name=Mark Alastair	episodes=1 episode, 2016 	
character=Coat Check Girl	name=Vanessa Da Silva	episodes=1 episode, 2016 	
character=Randy	name=Percy Hynes White	episodes=1 episode, 2016 	
character=El Conejo Waitress	name=Débora Demestre	episodes=1 episode, 2016 	
character=Dr. Gelberg	name=Alex Nussbaum	episodes=1 episode, 2016 	
character=Woman in Red	name=Marianne Galloway	episodes=1 episode, 2016 	
character=Anesthesiologist	name=Chris Owens	episodes=1 episode, 2016 	
character=Girl	name=Carine Gilbert	episodes=1 episode, 2016 	
character=Hobo 	name=Howard Goldthwaite	episodes=1 episode, 2016 	
character=Police Escort 	name=Jeff Gruen	episodes=1 episode, 2016 	
character=Man with Black Umbrella	name=Christian Heep	episodes=1 episode, 2016 	
character=Milk Delivery Man	name=Colin Doyle	episodes=1 episode, 2016 	
character=Jackie Kennedy	name=Pip Dwyer	episodes=1 episode, 2016 	
character=Reporter 	name=M. John Kennedy	episodes=1 episode, 2016 	
