# http://fitlayout.github.io/resource/art19 -> https://www.imdb.com/title/tt0141842/fullcredits/
character=Brian Cammarata	name=Matthew Del Negro	episodes=8 episodes, 2002-2007 	
character=Neil Mink	name=David Margulies	episodes=8 episodes, 2000-2007 	
character=Marie Spatafore	name=Elizabeth Bracco	episodes=8 episodes, 2006-2007 	
character=Nucci Gualtieri	name=Frances Ensemplare	episodes=8 episodes, 2001-2007 	
character=Jason Molinaro	name=William DeMeo	episodes=8 episodes, 2004-2007 	
character=Lilliana	name=Katalin Pota	episodes=7 episodes, 1999-2001 	
character=Rusty Millio	name=Frankie Valli	episodes=7 episodes, 2004-2006 	
character=Angelo Garepe	name=Joe Santos	episodes=7 episodes, 2004 	
character=Kelli Moltisanti	name=Cara Buono	episodes=7 episodes, 2006-2007 	
character=Valentina La Paz	name=Leslie Bega	episodes=7 episodes, 2002-2004 	
character=Agent Deborah Ciccerone	name=Lola Glaudini	episodes=7 episodes, 2001-2004 	
character=Svetlana Kirilenka	name=Alla Kliouka	episodes=7 episodes, 2000-2002 	
character=Joe Peeps	name=Joe Maruzzo	episodes=7 episodes, 2002-2004 	
character=Patty Leotardo	name=Geraldine LiBrandi	episodes=7 episodes, 2006-2007 	
character=Burt Gervasi	name=Artie Pasquale	episodes=7 episodes, 2004-2007 	
character=Gloria Trillo	name=Annabella Sciorra	episodes=7 episodes, 2001-2004 	
character=Anthony Maffei	name=John Cenatiempo	episodes=6 episodes, 2000-2007 	
character=Assemblyman Zellman	name=Peter Riegert	episodes=6 episodes, 2001-2002 	
character=Hunter Scangarelo	name=Michele DeCesare	episodes=6 episodes, 1999-2007 	
character=Agent Ron Goddard	name=Michael Kelly	episodes=6 episodes, 2006-2007 	
character=Ahmed	name=Taleb Adlah	episodes=6 episodes, 2006-2007 	
character=Muhammed	name=Donnie Keshawarz	episodes=6 episodes, 2006-2007 	
character=Eddie Pietro	name=Nick Annunziata	episodes=5 episodes, 2004-2006 	
character=Dr. Bruce Cusamano	name=Robert LuPone	episodes=4 episodes, 1999-2007 	
character=Det. Vin Makazian	name=John Heard	episodes=5 episodes, 1999-2004 	
character=Matt Bevilaqua	name=Lillo Brancato	episodes=6 episodes, 2000 	
character=Beansie Gaeta	name=Paul Herman	episodes=5 episodes, 2000-2007 	
