# http://fitlayout.github.io/resource/art71 -> https://www.imdb.com/title/tt1074206/fullcredits/
character=Skinny Kid	name=Cory Chapman	episodes=1 episode, 2019 	
character=News Anchor	name=John Crow	episodes=1 episode, 2019 	
character=Sheriff	name=Troy Rudeseal	episodes=1 episode, 2019 	
character=Nice Secretary	name=Annie Cook	episodes=1 episode, 2019 	
character=Armed Guard	name=James William Ballard	episodes=2 episodes, 2019 	
character=Bolivian Nurse	name=Kruz Valero	episodes=1 episode, 2019 	
character=Evacuee	name=Rahiem Riley	episodes=1 episode, 2019 	
character=Military Tech	name=Robert Tinsley	episodes=1 episode, 2019 	
character=Soldier 	name=Freddie Poole	episodes=1 episode, 2019 	
character=Nurse	name=Ana Maria Lagasca	episodes=1 episode, 2019 	
character=Soldier 	name=Bret McKee	episodes=1 episode, 2019 	
character=Bolivian Priest	name=Ricky Catter	episodes=1 episode, 2019 	
character=Darlene	name=Mandy Fason	episodes=1 episode, 2019 	
character=Restaurant Patron	name=Rick Papaleo	episodes=1 episode, 2019 	
character=Paramedic	name=Michael David Yuhl	episodes=1 episode, 2019 	
character=Carnival Goer	name=Ashley Uecker	episodes=1 episode, 2019 	
character=Halloween Party Goer	name=Andrea Maiuro	episodes=1 episode, 2019 	
character=Arrestee	name=Thomas Mark Higgins	episodes=1 episode, 2019 	
character=CDC Researcher	name=Jason M. White	episodes=1 episode, 2019 	
character=Prison Guard	name=Qualen Bradley	episodes=1 episode, 2019 	
character=Paramedic	name=Quandae Stewart	episodes=1 episode, 2019 	
character=Psycho Belushi	name=Tod Lautenberg	episodes=1 episode, 2019 	
character=Viral	name=Marshall J. Moore	episodes=1 episode, 2019 	
character=Richards Guys	name=Creighton Jones Jr.	episodes=1 episode, 2019 	
character=Carnival Goer	name=Angie Yarbrough	episodes=1 episode, 2019 	
character=Petrol Stand Customer	name=Roy Luke	episodes=1 episode, 2019 	
character=Carnival Kid	name=Hannah Powell	episodes=1 episode, 2019 	
character=Sweep	name=Chris Williams	episodes=1 episode, 2019 	
character=Army Soldier	name=Kevin Petruski Jr.	episodes=1 episode, 2019 	
