# http://fitlayout.github.io/resource/art63 -> https://www.imdb.com/title/tt0106179/fullcredits/
character=Charlie	name=Don MacKay	episodes=3 episodes, 1994-1996 	
character=Galen Muntz	name=Hrothgar Mathews	episodes=3 episodes, 1993-1996 	
character=Detainee	name=Charles Andre	episodes=3 episodes, 1993-2018 	
character=Dave the Butcher	name=Harrison Coe	episodes=2 episodes, 1996-1998 	
character=Russian Guard	name=Raoul Ganeev	episodes=2 episodes, 1994-1998 	
character=Man in Stairwell	name=Tony Morelli	episodes=1 episode, 1993-1996 	
character=Uniform	name=John Sampson	episodes=1 episode, 1994-1998 	
character=Erika Price	name=Barbara Hershey	episodes=3 episodes, 2018 	
character=Senator Richard Matheson	name=Raymond J. Barry	episodes=3 episodes, 1994-1999 	
character=Det. John Kresge	name=John Pyper-Ferguson	episodes=3 episodes, 1995-1997 	
character=Agent Einstein	name=Lauren Ambrose	episodes=3 episodes, 2016-2018 	
character=Max Fenig	name=Scott Bellis	episodes=3 episodes, 1993-1997 	
character=Detective Gwynn	name=Tom McBeath	episodes=3 episodes, 1993-1996 	
character=Detective Talbot	name=Timothy Webber	episodes=3 episodes, 1994-1996 	
character=Detective Frank Briggs	name=Henry Beckman	episodes=3 episodes, 1993-1998 	
character=Jeremiah Smith	name=Roy Thinnes	episodes=3 episodes, 1996-2001 	
character=Duffy Haskell	name=Jay Acovone	episodes=3 episodes, 1997-2001 	
character=Agent Miller	name=Robbie Amell	episodes=3 episodes, 2016-2018 	
character=Dwight	name=Peter LaCroix	episodes=3 episodes, 1994-1997 	
character=Agent Brian Fuller	name=Kevin McNulty	episodes=3 episodes, 1993-1996 	
character=Dr. Yonechi	name=Hiro Kanagawa	episodes=3 episodes, 1994-2015 	
character=Coroner Truitt	name=Stephen E. Miller	episodes=3 episodes, 1993-1996 	
character=Attorney	name=Lorena Gale	episodes=3 episodes, 1993-1997 	
character=Stoner	name=Tyler Labine	episodes=3 episodes, 1996-2016 	
character=Druggist	name=Walter Marsh	episodes=3 episodes, 1994-1997 	
character=Dr. Browning	name=Ken Kramer	episodes=3 episodes, 1994-1996 	
character=Dr. Stroman	name=Colin Cunningham	episodes=3 episodes, 1995-1996 	
character=Emily Sim	name=Lauren Diewold	episodes=3 episodes, 1997-1998 	
character=Agent Morris	name=Deryl Hayes	episodes=3 episodes, 1993-1995 	
character=Absalom	name=Judson Scott	episodes=3 episodes, 2001 	
character=Deborah Brown	name=P. Lynn Johnson	episodes=3 episodes, 1994-1997 	
character=Chick	name=Nicole Parker	episodes=3 episodes, 1996-2016 	
character=Ellen Reardon	name=Tasha Simms	episodes=3 episodes, 1993-1996 	
character=Dr. Joe Ridley	name=Robin Mossley	episodes=3 episodes, 1994-1996 	
character=Dr. Heitz Werber	name=Jim Jansen	episodes=3 episodes, 1993-1998 	
character=Controller	name=Alf Humphreys	episodes=3 episodes, 1993-1997 	
character=Government Man	name=Dmitry Chepovetsky	episodes=3 episodes, 1995-1998 	
character=Timothy Mayhew	name=Brent Stait	episodes=3 episodes, 1993-1996 	
character=FBI Cadet	name=Robert E. Beckwith	episodes=3 episodes, 2001-2002 	
character=Agent Collins	name=Steve Bacic	episodes=3 episodes, 1995-1998 	
character=Young Bill Mulder	name=Dean Aylesworth	episodes=3 episodes, 1996-1998 	
character=Dr. Harriman	name=Warren Sweeney	episodes=3 episodes, 1999 	
character=Reporter	name=Norma Jean Wick	episodes=3 episodes, 1993-1998 	
character=Dr. Vitagliano	name=Barry W. Levy	episodes=3 episodes, 1996-1997 	
character=Larold Rebhun	name=Jerry Schram	episodes=3 episodes, 1997-1998 	
character=Field Agent	name=J.B. Bivens	episodes=3 episodes, 1993-1998 	
character=Lana Chee	name=Julia Vera	episodes=3 episodes, 1998-2002 	
character=Vosberg	name=David James Lewis	episodes=3 episodes, 1993-1995 	
character=Chaplain	name=Joseph Patrick Finn	episodes=3 episodes, 1995-2018 	
character=Father McCue	name=Arnie Walters	episodes=3 episodes, 1997-1998 	
character=Alien	name=Sandy Da Costa	episodes=3 episodes, 2015-2018 	
character=A.D. Arnold	name=Wayne Alexander	episodes=3 episodes, 1998-2000 	
character=Assistant	name=Victoria Gallegos	episodes=3 episodes, 2001-2002 	
character=Follmer	name=Victoria Gallegos	episodes=3 episodes, 2001-2002 	
character=Guard	name=Craig Bruhnanski	episodes=3 episodes, 1995-1997 	
character=Officer	name=Robert Lewis	episodes=3 episodes, 1993-1995 	
character=Toothpick Man	name=Alan Dale	episodes=3 episodes, 2002 	
character=Assistant	name=Laura Leigh Hughes	episodes=3 episodes, 1998-2002 	
character=Kersh	name=Laura Leigh Hughes	episodes=3 episodes, 1998-2002 	
character=Pilot	name=Christopher Stapleton	episodes=3 episodes, 1998-2002 	
character=Jackson Van De Kamp	name=Miles Robbins	episodes=2 episodes, 2018 	
character=Agt. Brisentine	name=Marc Baur	episodes=2 episodes, 1993-1996 	
character=FBI Agent Riggins	name=Anthony Harrison	episodes=2 episodes, 1993-1996 	
character=Local Cop	name=Sean Campbell	episodes=2 episodes, 1995-2018 	
character=Agent Landau	name=Sal Landi	episodes=2 episodes, 2000-2002 	
character=Bartender	name=Rick Dobran	episodes=2 episodes, 1997-1998 	
character=Robert	name=Brent Chapman	episodes=2 episodes, 1995-1997 	
character=Fireman	name=Brad Loree	episodes=2 episodes, 1994-1997 	
character=David Duchovny	name=Steve Kiziak	episodes=2 episodes, 1999-2000 	
character=Duty Nurse	name=Carrie Cain-Sparks	episodes=2 episodes, 1995-1997 	
character=Dr. Hartman	name=Martin Evans	episodes=2 episodes, 1995-1996 	
character=Addie Sparks	name=Jenny-Lynn Hutcheson	episodes=1 episode, 1995-1998 	
character=First Cop	name=Colin Lawrence	episodes=1 episode, 1996-1998 	
character=Day Room Patient 	name=Kate Braidwood	episodes=1 episode, 1996-1998 	
character=Glasses Man	name=Anatol Rezmeritza	episodes=1 episode, 1996-1998 	
character=Nurse	name=Jenn Forgie	episodes=1 episode, 1997-1999 	
character=Eugene Victor Tooms	name=Doug Hutchison	episodes=2 episodes, 1993-2018 	
character=Duane Barry	name=Steve Railsback	episodes=2 episodes, 1994 	
character=Colleen Azar	name=Colleen Flynn	episodes=2 episodes, 1997-2000 	
character=Gary Lambert	name=Brian Markinson	episodes=2 episodes, 1994-1998 	
character=Lt. Brian Tillman	name=Quinn	episodes=2 episodes, 1995-2002 	
character=Lt. Brian Tillman	name=Terry O	episodes=2 episodes, 1995-2002 	
character=Henry Weems	name=Willie Garson	episodes=2 episodes, 1995-1999 	
character=Red-Haired Man	name=Stephen McHattie	episodes=2 episodes, 1995 	
character=Susanne Modeski	name=Signy Coleman	episodes=2 episodes, 1997-1999 	
character=Mike Millar	name=Joe Spano	episodes=2 episodes, 1997 	
character=Young Arthur Dales	name=Fredric Lehne	episodes=2 episodes, 1998-1999 	
character=Eddie Van Blundht	name=Darin Morgan	episodes=2 episodes, 1994-2018 	
character=Audrey Pauley	name=Tracey Ellis	episodes=2 episodes, 1995-2002 	
character=Donald Addie Pfaster	name=Nick Chinlund	episodes=2 episodes, 1995-2000 	
character=General Wegman	name=John Mahon	episodes=2 episodes, 1998 	
character=Bud LaPierre	name=Mark Rolston	episodes=2 episodes, 1994-2000 	
character=Crew Cut Man	name=Lindsey Ginter	episodes=2 episodes, 1994 	
character=Sgt. Louis Frisch	name=Brien	episodes=2 episodes, 1997 	
character=Sgt. Louis Frisch	name=Tom O	episodes=2 episodes, 1997 	
character=Charlie	name=Joel Palmer	episodes=2 episodes, 1993-1995 	
character=Detective Kelly Ryan	name=Kate Twa	episodes=2 episodes, 1994-1995 	
character=Robert Patrick Modell	name=Robert Wisden	episodes=2 episodes, 1996-1998 	
character=Howard Grodin	name=Michael B. Silver	episodes=2 episodes, 1998 	
character=Claude Peterson	name=Blu Mankuma	episodes=2 episodes, 1993-1998 	
character=August Bremer	name=Michael MacRae	episodes=2 episodes, 1993-1998 	
character=General Francis	name=Donnelly Rhodes	episodes=2 episodes, 1994-1996 	
character=Joanne	name=Kerry Sandomirsky	episodes=2 episodes, 1994-1995 	
character=Angelo Pintero	name=Alex Bruhanski	episodes=2 episodes, 1996-1997 	
character=Detective Miles	name=Leon Russom	episodes=2 episodes, 1993-2000 	
character=Arlinsky	name=Matthew Walker	episodes=2 episodes, 1994-1997 	
character=Captain William Scully	name=Don S. Davis	episodes=2 episodes, 1994 	
character=Dr. Shiro Zama	name=Robert Ito	episodes=2 episodes, 1995 	
character=Agent Greg Nemhauser	name=Greg Thirloway	episodes=2 episodes, 1996 	
character=Tara Scully	name=Karri Turner	episodes=2 episodes, 1997 	
character=Salamander Man	name=Jay Caputo	episodes=2 episodes, 2000-2001 	
character=Shannon McMahon	name=Lucy Lawless	episodes=2 episodes, 2001 	
character=Examiner	name=Colleen Winton	episodes=2 episodes, 1993-1998 	
character=Dr. Katz	name=George Touliatos	episodes=2 episodes, 1993-1994 	
character=Barbara Ausbury	name=Michele Goodger	episodes=2 episodes, 1994-1995 	
character=Karin Matthews	name=Sarah-Jane Redmond	episodes=2 episodes, 1995-1998 	
character=Edmund Peacock	name=Chris Nelson Norris	episodes=2 episodes, 1996-1997 	
character=Jeff Smoodge	name=Scott Allan Campbell	episodes=2 episodes, 1998 	
character=Benjamin Drake	name=Tom Butler	episodes=2 episodes, 1993-1995 	
character=Black-Haired Man	name=Michael Shamus Wiles	episodes=2 episodes, 1998-2000 	
character=Sarah Turner	name=Madeleine Arthur	episodes=2 episodes, 2018 	
character=Brianna Stapleton	name=Sarah Jeffery	episodes=2 episodes, 2018 	
character=Anita Budahas	name=Gabrielle Rose	episodes=2 episodes, 1993-1994 	
character=Mrs. Asekoff	name=Merrilyn Gann	episodes=2 episodes, 1994-1997 	
