# http://fitlayout.github.io/resource/art4 -> https://www.imdb.com/title/tt0285333/fullcredits/
character=Keach	name=Joel Bissonnette	episodes=2 episodes, 2005 	
character=Kelly McNeil	name=Agnes Bruckner	episodes=2 episodes, 2002 	
character=Neil Caplan	name=Christian Slater	episodes=2 episodes, 2003 	
character=Senator George Reed	name=Raymond J. Barry	episodes=2 episodes, 2004 	
character=Dr. Atticus Liddell	name=Michael McKean	episodes=2 episodes, 2005 	
character=Dr. Aldo Desantis	name=Patrick Bauchau	episodes=2 episodes, 2005 	
character=Eloise Kurtz	name=Lori Heuring	episodes=2 episodes, 2001 	
character=Alexander Khasinau	name=Boris Lee Krutonog	episodes=2 episodes, 2002-2005 	
character=Tambor Barceló	name=Tony Amendola	episodes=2 episodes, 2002 	
character=Brill	name=Richard Roundtree	episodes=2 episodes, 2003-2004 	
character=Marlon Bell	name=Glenn Morshower	episodes=2 episodes, 2004 	
character=Nevil	name=Christopher Thornton	episodes=2 episodes, 2001 	
character=Alice Williams	name=Petra Wright	episodes=2 episodes, 2002 	
character=Frederick Brandon	name=Jonathan Banks	episodes=2 episodes, 2003 	
character=Luri Karpachev	name=Ravil Isyanov	episodes=2 episodes, 2001-2003 	
character=Dr. Kreshnik	name=Evgeniy Lazarev	episodes=2 episodes, 2001 	
character=Luc Jacqnoud	name=Maurice Chasse	episodes=2 episodes, 2001 	
character=Senator Douglas	name=Stephen Markle	episodes=2 episodes, 2002 	
character=Dr. Nicholas	name=Austin Tichenor	episodes=2 episodes, 2002 	
character=Ushek San	name=Ilia Volok	episodes=2 episodes, 2003-2005 	
character=Dr. Gonzalo Burris	name=Michael Massee	episodes=2 episodes, 2005-2006 	
character=Lucien Nisard	name=Andrew Divoff	episodes=2 episodes, 2005 	
character=Ivan Curtis	name=David Marshall Grant	episodes=2 episodes, 2005 	
character=Conrad	name=David Carradine	episodes=2 episodes, 2003-2004 	
character=Doctor Mark	name=Jay Huguley	episodes=2 episodes, 2005-2006 	
character=Aleksander Petrovich	name=Taso Papadakis	episodes=2 episodes, 2005 	
character=Assault Team Leader	name=Aleksandr Kuznetsov	episodes=2 episodes, 2001-2005 	
character=Toni	name=Jennifer Tung	episodes=2 episodes, 2002 	
character=Lavro Kessar	name=Jorgo Ognenovski	episodes=2 episodes, 2002 	
character=Dr. Brezzel	name=David Cronenberg	episodes=2 episodes, 2003 	
character=Third Man	name=Leland Crooke	episodes=2 episodes, 2006 	
character=Manolo de Souza	name=Daniel Faraldo	episodes=2 episodes, 2002 	
character=Steven Dixon	name=Daniel E. Smith	episodes=2 episodes, 2003-2004 	
character=Elsa Caplan	name=Tracy Middendorf	episodes=2 episodes, 2003 	
character=Tchen	name=Ben Hernandez Bray	episodes=2 episodes, 2002 	
character=Oleg Madrczyk	name=Bill Bolender	episodes=2 episodes, 2003-2004 	
character=Technician	name=Jordi Caballero	episodes=2 episodes, 2004 	
character=Chancellor	name=Lorenzo Caccialanza	episodes=2 episodes, 2003-2005 	
character=Agent Scrimm	name=Jerry O	episodes=2 episodes, 2003 	
character=Agent Scrimm	name=Donnell	episodes=2 episodes, 2003 	
character=N.A. Moderator	name=Carole Androsky	episodes=2 episodes, 2002-2005 	
character=Endo	name=Kristof Konrad	episodes=2 episodes, 2002 	
character=Doctor	name=Dominic Comperatore	episodes=2 episodes, 2005 	
character=C.I.A. Officer	name=John Storey	episodes=2 episodes, 2001-2003 	
character=Chopper	name=Igor Jijikine	episodes=2 episodes, 2002 	
character=Allen Korman	name=Perry Wolberg	episodes=2 episodes, 2006 	
character=Bentley Calder	name=Paul Lieber	episodes=2 episodes, 2001-2002 	
character=Claus Richter	name=Jim Hanna	episodes=2 episodes, 2002 	
character=Laborer	name=Oleg Vidov	episodes=2 episodes, 2005-2006 	
character=Ice	name=David Lea	episodes=2 episodes, 2002 	
character=Aaron Caplan	name=Arthur Young	episodes=2 episodes, 2003 	
character=Laura Bristow	name=Arabella Holzbog	episodes=2 episodes, 2001 	
character=Gonov	name=Jeff Wolfe	episodes=2 episodes, 2002 	
character=K-Directorate Officer	name=Alex Veadov	episodes=2 episodes, 2001-2005 	
character=Agent Douglas	name=Scott Vance	episodes=2 episodes, 2001-2002 	
character=C.I.A. Receptionist	name=Greta Sesheta	episodes=2 episodes, 2001-2002 	
character=Doctor	name=Soren Hellerup	episodes=2 episodes, 2001-2002 	
character=Beth at Airline Counter	name=Emily Wachtel	episodes=2 episodes, 2001-2002 	
character=Rachel	name=Haley Gilbert Fisher	episodes=2 episodes, 2001 	
character=Dhiren Patel	name=Subash Kundanmal	episodes=2 episodes, 2001 	
character=Young Sydney	name=Sarah K. Peterson	episodes=2 episodes, 2002-2003 	
character=German Officer	name=Tom Waite	episodes=2 episodes, 2001-2002 	
character=NSC Agent 	name=Sean Casey	episodes=2 episodes, 2003 	
character=German SD-6 Agent	name=Tony Sears	episodes=2 episodes, 2001 	
character=Dr. Danny Hecht	name=Edward Atterton	episodes=1 episode, 2001-2002 	
character=Gerard Cuvee	name=Derek de Lint	episodes=1 episode, 2002 	
character=Dr. Siegel	name=Adrian Sparks	episodes=1 episode, 2003 	
character=Coke Bottle Glasses	name=Oz Perkins	episodes=1 episode, 2005 	
character=French Guard	name=J.P. Romano	episodes=1 episode, 2003-2005 	
character=Anton	name=Sam Ayers	episodes=1 episode, 2001-2005 	
character=College Student	name=Michele Morrow	episodes=1 episode, 2006 	
character=Paul Kelvin	name=Tom Everett	episodes=1 episode, 2001 	
character=Edward Poole	name=Roger Moore	episodes=1 episode, 2002 	
character=Sam Hauser	name=Jason Segel	episodes=1 episode, 2005 	
character=Kiera MacLaine	name=Kelly Macdonald	episodes=1 episode, 2005 	
character=Dr. Maggie Sinclair	name=Michelle Forbes	episodes=1 episode, 2005 	
character=Father Kampinski	name=John Benjamin Hickey	episodes=1 episode, 2005 	
character=Tom	name=Jim Pirri	episodes=1 episode, 2005 	
