# http://fitlayout.github.io/resource/art52 -> https://www.imdb.com/title/tt5753856/fullcredits/
character=Police Officer 1954	name=Roland Wolf	episodes=3 episodes, 2017-2019 	
character=Nurse Clara Schrage	name=Lena Dörrie	episodes=3 episodes, 2017 	
character=Gustav Tannhaus	name=Axel Werner	episodes=2 episodes, 2020 	
character=Farmer Hermann Albers	name=Thomas Arnold	episodes=2 episodes, 2017-2020 	
character=Martin Döhring	name=Franz Hartwig	episodes=2 episodes, 2017-2020 	
character=Sebastian Krüger	name=Denis Schmidt	episodes=2 episodes, 2017 	
character=Pathologist Udo Meier	name=Henning Peker	episodes=2 episodes, 2017-2019 	
character=Nurse Donata	name=Anna Schönberg	episodes=2 episodes, 2017 	
character=Powerplant Worker 	name=Andreas Schröders	episodes=2 episodes, 2019 	
character=Adult Erna	name=Tilla Kratochwil	episodes=2 episodes, 2019-2020 	
character=Caseworker Selma Ahrens	name=Barbara Philipp	episodes=2 episodes, 2017 	
character=Mads Nielsen	name=Valentin Oppermann	episodes=1 episode, 2017 	
character=Agnes Nielsen 1921	name=Helena Pieske	episodes=1 episode, 2019 	
character=Young Peter Doppler	name=Pablo Striebeck	episodes=1 episode, 2020 	
character=Nurse Anne Reisch	name=Eva Maria Jost	episodes=1 episode, 2017 	
character=Theater	name=Leon Lukas Blaschke	episodes=1 episode, 2017 	
character=Student 	name=Leon Lukas Blaschke	episodes=1 episode, 2017 	
character=Bully 	name=Nino Böhlau	episodes=1 episode, 2017 	
character=Ulla Obendorf	name=Jennipher Antoni	episodes=1 episode, 2017 	
character=Bully 	name=Lenz Lengers	episodes=1 episode, 2017 	
character=Mother	name=Helena Abay	episodes=1 episode, 2017 	
character=Yasin	name=Helena Abay	episodes=1 episode, 2017 	
character=School for the Deaf Teacher	name=Nina Weniger	episodes=1 episode, 2017 	
character=Male Nurse Psychiatry	name=Eric Bouwer	episodes=1 episode, 2019 	
character=Bus Driver	name=Moritz Heinlin	episodes=1 episode, 2020 	
character=Farmer 	name=Hendrik Heutmann	episodes=1 episode, 2019 	
character=Prison Guard 1954	name=Jörg Malchow	episodes=1 episode, 2019 	
character=Burglar	name=Isaak Dentler	episodes=1 episode, 2020 	
character=Father	name=Werner Wölbern	episodes=1 episode, 2020 	
character=Gustav Tannhaus	name=Werner Wölbern	episodes=1 episode, 2020 	
character=Farmer 	name=Oliver Bigalke	episodes=1 episode, 2019 	
character=Powerplant Worker 	name=Christian Kerepeszki	episodes=1 episode, 2019 	
character=Nurse	name=Lisa-Marie Janke	episodes=1 episode, 2019 	
character=Doctor	name=Holger Handtke	episodes=1 episode, 2020 	
character=Young Gustav Tannhaus	name=Linus Fischer	episodes=1 episode, 2020 	
character=Woman Search Party	name=Cornelia Lippert	episodes=1 episode, 2017 	
character=Labratory Technician	name=Arne Fiedler	episodes=1 episode, 2019 	
character=Mayor of Winden	name=Michael Schenk	episodes=1 episode, 2020 	
character=Drama Teacher	name=Natascha Paulick	episodes=1 episode, 2020 	
character=Dr. Reimann	name=Hannes Wegener	episodes=1 episode, 2017 	
character=Power Plant Security Guard	name=Alexander Schubert	episodes=1 episode, 2019 	
character=Veterinarian Dr. Schaller	name=Luc Feit	episodes=1 episode, 2017 	
character=Library Employee	name=Michael Ihnow	episodes=1 episode, 2019 	
character=Library Student	name=Paula Kroh	episodes=1 episode, 2019 	
character=Regina	name=Christian Kuchenbuch	episodes=1 episode, 2019 	
character=Doctor	name=Christian Kuchenbuch	episodes=1 episode, 2019 	
character=Marek Tannhaus	name=Merlin Rose	episodes=1 episode, 2020 	
character=Young Erna	name=Anja Willutzki	episodes=1 episode, 2020 	
character=Scientist in Future	name=Frédéric Vonhof	episodes=1 episode, 2019 	
character=Sonja Tannhaus	name=Svenja Jung	episodes=1 episode, 2020 	
character=Child Noah	name=Till Patz	episodes=1 episode, 2020 	
character=Adult Silja Tiedemann	name=Lissy Pernthaler	episodes=1 episode, 2020 	
character=Child Martha Nielsen	name=Luna Arwen Krüger	episodes=1 episode, 2020 	
character=Soldier Checkpoint	name=Maximilian Dirr	episodes=1 episode, 2020 	
character=Child Jonas Kahnwald	name=Jonas Gerzabek	episodes=1 episode, 2020 	
character=Child Silja	name=Aurora Dervisi	episodes=1 episode, 2020 	
character=Soldier in Tent	name=Anjorka Strechel	episodes=1 episode, 2020 	
character=Mercenary 2053	name=Chris Theisinger	episodes=1 episode, 2019 	
character=Teacher	name=Mandy M. Haupert	episodes=2 episodes, 2017-2019 	
character=Police Officer	name=Frederik Klaus	episodes=2 episodes, 2017-2019 	
character=Army Officer	name=David Brückner	episodes=2 episodes, 2020 	
character=School Girl	name=Annika	episodes=1 episode, 2017 	
character=Captain on Horse	name=Joachim Paul Assböck	episodes=1 episode, 2019 	
