# http://fitlayout.github.io/resource/art20 -> https://www.imdb.com/title/tt2243973/fullcredits/
character=Mrs. Komeda	name=Ellen Greene	episodes=1 episode, 2013 	
character=Detective Pascal	name=Richard Chevolleau	episodes=1 episode, 2013 	
character=Mother	name=Severn Thompson	episodes=1 episode, 2013 	
character=Marissa	name=Severn Thompson	episodes=1 episode, 2013 	
character=Mr. Nichols	name=Wayne Ward	episodes=1 episode, 2013 	
character=Police Officer 	name=Craig Thomas	episodes=1 episode, 2013 	
character=Hospital Security	name=Mark Waters	episodes=1 episode, 2013 	
character=Cop 	name=Marcel Lewis	episodes=1 episode, 2013 	
character=Officer Stewart	name=Darren Josephs	episodes=1 episode, 2013 	
character=Katherine Pimms	name=Amanda Plummer	episodes=1 episode, 2014 	
character=Leonard Brauer	name=Shawn Doyle	episodes=1 episode, 2014 	
character=Female Beachgoer	name=Brendee Green	episodes=1 episode, 2014 	
character=Franklin	name=Samuel Faraci	episodes=1 episode, 2014 	
character=Sarah Craber	name=Christine Ebadi	episodes=1 episode, 2014 	
character=Mrs. Leeds	name=Nola Martin	episodes=1 episode, 2015 	
character=Dentist	name=Mio Adilman	episodes=1 episode, 2015 	
character=Gretchen Speck	name=Chelan Simmons	episodes=1 episode, 2013 	
character=Inmate 	name=Darrin Brown	episodes=1 episode, 2013 	
character=Marcy O	name=Lindsey Connell	episodes=1 episode, 2013 	
character=Halloran	name=Lindsey Connell	episodes=1 episode, 2013 	
character=Officer Dormau	name=Kevan Kase	episodes=1 episode, 2013 	
character=Security Guard	name=Al Vrkljan	episodes=1 episode, 2013 	
character=Dr. Paul Carruthers	name=Todd Dulmage	episodes=1 episode, 2013 	
character=Flight Attendant	name=Brittney Johnston	episodes=1 episode, 2013 	
character=Cop 	name=Wayne Hissong	episodes=1 episode, 2013 	
character=Judge Davies	name=Barry Flatman	episodes=1 episode, 2014 	
character=Male Beachgoer	name=Michael James Regan	episodes=1 episode, 2014 	
character=Minister	name=Ray Kahnert	episodes=1 episode, 2014 	
character=Lloyd Roat	name=Steve Whistance-Smith	episodes=1 episode, 2014 	
character=Mr. Leeds	name=Blair Johannes	episodes=1 episode, 2015 	
character=Theresa Marlow	name=Bernadette Couture	episodes=1 episode, 2013 	
character=Shrike Victim 	name=Dominique Bisson	episodes=1 episode, 2013 	
character=Halloran	name=Nicholas Bode	episodes=1 episode, 2013 	
