# http://fitlayout.github.io/resource/art2 -> https://www.imdb.com/title/tt4574334/fullcredits/
character=Principal Coleman	name=Tony Vaughn	episodes=4 episodes, 2016-2017 	
character=Vickie	name=Amybeth McNulty	episodes=4 episodes, 2022-2023 	
character=Young Henry Creel	name=Raphael Luce	episodes=4 episodes, 2022 	
character=Freshman Teammate	name=Jayden Griffin	episodes=4 episodes, 2022 	
character=Officer Glenn Daniels	name=Jeff Sprauve	episodes=4 episodes, 2022 	
character=Chance	name=Hunter Romanillos	episodes=4 episodes, 2022 	
character=Six	name=De	episodes=4 episodes, 2022 	
character=Six	name=Jon Watts	episodes=4 episodes, 2022 	
character=Young Kali	name=Vanathi Parthiban	episodes=1 episode, 2017-2022 	
character=Kali	name=Linnea Berthelsen	episodes=3 episodes, 2017 	
character=Hawkins Head of Security	name=Pete Burris	episodes=3 episodes, 2016 	
character=Elevator Scientist	name=Andrew Benator	episodes=3 episodes, 2016 	
character=Nicole	name=Glennellen Anderson	episodes=3 episodes, 2016-2017 	
character=Becky Ives	name=Amy Seimetz	episodes=3 episodes, 2016-2017 	
character=Lynx Security Guard 	name=Anthony Belevtsov	episodes=3 episodes, 2019 	
character=Hospital Receptionist	name=Chantell D. Christopher	episodes=3 episodes, 2019 	
character=Angela	name=Elodie Grace Orkin	episodes=3 episodes, 2022 	
character=Suzie Bingham	name=Gabriella Pizzolo	episodes=3 episodes, 2019-2022 	
character=Keith	name=Matty Cardarople	episodes=3 episodes, 2017-2019 	
character=Oleg	name=Pasha D. Lychnikoff	episodes=3 episodes, 2022 	
character=Wayne Munson	name=Joel Stoffer	episodes=3 episodes, 2022 	
character=Sweaty Teen Boy	name=Drew Scheid	episodes=3 episodes, 2017 	
character=Agent Harmon	name=Ira Amyx	episodes=3 episodes, 2022 	
character=Jake	name=Logan Allen	episodes=3 episodes, 2022 	
character=Prisoner 	name=Alexei Afonin	episodes=3 episodes, 2022 	
character=Marissa	name=Christi Waldon	episodes=3 episodes, 2016-2022 	
character=Neil Hargrove	name=Will Chase	episodes=2 episodes, 2017-2019 	
character=Scientist 	name=Charity Hitchcock	episodes=3 episodes, 2022 	
character=Prisoner 	name=Martin Harris	episodes=3 episodes, 2022 	
character=Charles Sinclair	name=Arnell Powell	episodes=3 episodes, 2017-2022 	
character=Prisoner 	name=Konstantin Podprugin	episodes=3 episodes, 2022 	
character=Mean Girl	name=Gabriella Surodjawan	episodes=3 episodes, 2022 	
character=Mean Boy	name=Alex Wagenman	episodes=3 episodes, 2022 	
character=Stern Orderly	name=Sam Salary	episodes=3 episodes, 2022 	
character=Chrissy Cunningham	name=Grace Van Dien	episodes=1 episode, 2022 	
character=Radar Tech	name=Helen LeRoy	episodes=2 episodes, 2017 	
character=M.P. Guard 	name=Brian Brightman	episodes=2 episodes, 2017 	
character=Benny Hammond	name=Chris Sullivan	episodes=2 episodes, 2016 	
character=Funshine	name=Kai Greene	episodes=2 episodes, 2017 	
character=M.P. Guard 	name=Kristopher Charles	episodes=2 episodes, 2017 	
character=Cynthia	name=Stefanie Butler	episodes=2 episodes, 2016 	
character=Axel	name=James Landry Hébert	episodes=2 episodes, 2017 	
character=Earl	name=David Dwyer	episodes=2 episodes, 2016 	
character=Dottie	name=Anna Jacoby-Heron	episodes=2 episodes, 2017 	
character=Ray	name=Pruitt Taylor Vince	episodes=2 episodes, 2017 	
character=Werewolf	name=Sam Ashby	episodes=2 episodes, 2017 	
character=Mick	name=Gabrielle Maiden	episodes=2 episodes, 2017 	
character=Happy Homeowner	name=Lynne Ashe	episodes=2 episodes, 2017 	
character=High School Principal	name=Salem Hadeed	episodes=2 episodes, 2016 	
character=Grandkid	name=Danny Boyd Jr.	episodes=2 episodes, 2017-2019 	
character=Candice - Mayor	name=Allyssa Brooke	episodes=2 episodes, 2019 	
character=Secretary	name=Allyssa Brooke	episodes=2 episodes, 2019 	
character=Diane Hopper	name=Jerri Tubbs	episodes=2 episodes, 2016 	
character=Anna Jacobi	name=Erika Coleman	episodes=2 episodes, 2019 	
character=Stacey	name=Sydney Bullock	episodes=2 episodes, 2017-2019 	
character=Bannon	name=Ron Roggé	episodes=2 episodes, 2016 	
character=State Trooper O	name=Ron Roggé	episodes=2 episodes, 2016 	
character=Adams	name=Alan Boell	episodes=2 episodes, 2017 	
character=Security Guard	name=Paul Vincent Freeman	episodes=2 episodes, 2017 	
character=Russian Comm Officer	name=Georgui Kasaev	episodes=2 episodes, 2019 	
character=Russian Goon 	name=Aleh Neliubin	episodes=2 episodes, 2019 	
character=Vicki Charmichael	name=Abigail Cowen	episodes=2 episodes, 2017 	
character=Secretary 	name=Greta Glenn	episodes=2 episodes, 2019 	
character=Tina	name=Madelyn Cline	episodes=2 episodes, 2017 	
character=Secretary 	name=Nita Hardy	episodes=2 episodes, 2019 	
character=Jason Voorhees	name=Cameron Newton	episodes=2 episodes, 2017 	
character=Elderly Math Teacher	name=Donna Wright	episodes=2 episodes, 2017 	
character=Flamethrower Soldier	name=David A MacDonald	episodes=2 episodes, 2017 	
character=Friend	name=Leiloni Arrie Pharms	episodes=2 episodes, 2019 	
character=Erica	name=Leiloni Arrie Pharms	episodes=2 episodes, 2019 	
character=Alice Creel	name=Livi Birch	episodes=2 episodes, 2022 	
character=Control Room Technician	name=Sasha Andreev	episodes=2 episodes, 2022 	
character=Mom 	name=Cara Mantella	episodes=2 episodes, 2019 	
character=Teen Skater 	name=Sarah Bowman	episodes=2 episodes, 2022 	
character=Teen Skater 	name=Michelle Bowman	episodes=2 episodes, 2022 	
character=Tall Guard	name=Nick Bardin	episodes=2 episodes, 2022 	
character=Jeff	name=Trey Best	episodes=2 episodes, 2022 	
character=Mr. Holland	name=Aaron Munoz	episodes=2 episodes, 2017 	
character=Scary Clown	name=Andrew Wilson Williams	episodes=2 episodes, 2017 	
character=Counselor Kelley	name=Regina Ting Chen	episodes=2 episodes, 2022 	
character=Teen Skater 	name=Ethan Dennis	episodes=2 episodes, 2022 	
character=Mom 	name=Lauren Revard	episodes=2 episodes, 2019 	
character=Lenora Neighbor	name=Elise Falanga	episodes=2 episodes, 2022 	
character=Strong Prisoner	name=Edmundas Kartanas	episodes=2 episodes, 2022 	
character=Young Victor Creel	name=Kevin L. Johnson	episodes=2 episodes, 2022 	
character=Annoyed Neighbor	name=Cindy Hogan	episodes=2 episodes, 2022 	
character=Candace	name=Scout Hamrick	episodes=2 episodes, 2022 	
character=Control Room Guard	name=Euguen Leon	episodes=2 episodes, 2022 	
character=Mean Guard	name=Sergey Safronov	episodes=2 episodes, 2022 	
character=Control Room Scientist	name=Aleksandr Krasnopolskiy	episodes=2 episodes, 2022 	
character=Angry Townsperson 	name=Adam Murray	episodes=2 episodes, 2022 	
character=Gareth	name=Gwydion Lashlee-Walton	episodes=2 episodes, 2022 	
character=Virginia Creel	name=Tyner Rushing	episodes=2 episodes, 2022 	
character=Teen Skater 	name=Glory Quintana	episodes=2 episodes, 2022 	
character=Helicopter Pilot	name=Steve Stafford	episodes=2 episodes, 2022 	
