# http://fitlayout.github.io/resource/art36 -> https://www.imdb.com/title/tt2707408/fullcredits/
character=Sergeant Morales	name=Fabian Villa	episodes=4 episodes, 2016 	
character=Marina Ochoa	name=Laura Perico	episodes=4 episodes, 2015 	
character=Kiko Moncada	name=Christian Tappan	episodes=4 episodes, 2015-2016 	
character=Fernando Galeano	name=Orlando Valenzuela	episodes=4 episodes, 2015-2016 	
character=General Jaramillo	name=Andrés Felipe Martínez	episodes=4 episodes, 2015 	
character=Lugo	name=Juan Camilo Pérez	episodes=4 episodes, 2016 	
character=Pinchadito	name=Daniel Merizalde	episodes=4 episodes, 2016-2017 	
character=Baby	name=Julieta Cardona	episodes=4 episodes, 2015 	
character=Natalie	name=Julieta Cardona	episodes=4 episodes, 2015 	
character=David	name=Darío Cifuentes	episodes=4 episodes, 2016 	
character=Diana Turbay	name=Gabriela de la Garza	episodes=3 episodes, 2015 	
character=Gato	name=Pedro Calvo	episodes=3 episodes, 2016 	
character=Gustavo Calderon	name=Juan Carlos Messier	episodes=3 episodes, 2017 	
character=Colonel Pinzón	name=Luis Fernando Hoyos	episodes=3 episodes, 2016 	
character=Manuel	name=Maurho Jimenez	episodes=3 episodes, 2017 	
character=El Mugre	name=Rafael Rodriguez	episodes=3 episodes, 2015-2016 	
character=Edgar Prisco	name=Leonardo García Vale	episodes=3 episodes, 2016 	
character=Ambassador	name=Jesse Rose Moore	episodes=3 episodes, 2015 	
character=Secretary	name=Jesse Rose Moore	episodes=3 episodes, 2015 	
character=Juliana Carrillo	name=Maruia Shelton	episodes=3 episodes, 2015-2016 	
character=Rojas	name=Carlos Mariño	episodes=3 episodes, 2016 	
character=Mariela Rodriguez	name=Marcela Gallego	episodes=3 episodes, 2016-2017 	
character=Bogotá	name=Frank Cuervo	episodes=3 episodes, 2015 	
character=DEA 	name=Frank Cuervo	episodes=3 episodes, 2015 	
character=Chucho Peña	name=Edward James Olmos	episodes=2 episodes, 2017 	
character=Agent Duffy	name=Shea Whigham	episodes=2 episodes, 2017 	
character=Agent Lopez	name=Nicholas Gonzalez	episodes=2 episodes, 2017 	
character=Alan Starkman	name=Wayne Knight	episodes=2 episodes, 2017 	
character=Mike Spencer	name=Matthew Glave	episodes=2 episodes, 2016-2017 	
character=Marta Ochoa	name=Carolina Gaitan	episodes=2 episodes, 2015 	
character=El Paisa	name=Luis Miguel Hurtado	episodes=2 episodes, 2015 	
character=Carlos Henao	name=Andres Felipe Torres	episodes=2 episodes, 2016 	
character=Polo	name=Oscar González	episodes=2 episodes, 2015 	
character=Jaime	name=German De Greiff	episodes=2 episodes, 2015 	
character=General Ariza	name=Juan Carlos Arango	episodes=2 episodes, 2015 	
character=Sugar	name=Rodrigo Celis	episodes=2 episodes, 2015 	
character=Manuel de Dios Unane	name=Gabriel Sloyer	episodes=2 episodes, 2017 	
character=Luis Carlos Galán	name=Juan Pablo Espinosa	episodes=2 episodes, 2015 	
character=Cali Sicario 	name=Javier Gardeazábal	episodes=2 episodes, 2015 	
character=Maicol	name=Javier Gardeazábal	episodes=2 episodes, 2015 	
character=Father Sobrino	name=Salvador del Solar	episodes=2 episodes, 2015 	
character=Santiago	name=Raúl Ocampo	episodes=2 episodes, 2015 	
character=Ivan Torres	name=Aldemar Correa	episodes=2 episodes, 2015 	
character=Gorilla	name=Hector Lucumi	episodes=2 episodes, 2015 	
character=Julio Turbay	name=Fernando Arévalo	episodes=2 episodes, 2015 	
character=Duvan Salazar	name=Carlos Rios	episodes=2 episodes, 2017 	
character=Elias	name=Lux Pascal	episodes=2 episodes, 2017 	
character=Santiago Medina	name=Gustavo Ángel	episodes=2 episodes, 2017 	
character=Nydia Turbay	name=Helena Mallarino	episodes=2 episodes, 2015 	
character=Raul Salazar	name=Jaime Arango	episodes=2 episodes, 2017 	
character=Natalie	name=Karen Alejandra Díaz	episodes=2 episodes, 2015 	
character=Lucho	name=Jefferson Carabali	episodes=2 episodes, 2017 	
character=Riano	name=Juan Manuel Lenis	episodes=2 episodes, 2015 	
character=El Mensaje	name=Daniel Castaño	episodes=2 episodes, 2015 	
character=Herve	name=Manuel Antonio Gómez	episodes=2 episodes, 2015 	
character=Jorge	name=Weimar Delgado	episodes=2 episodes, 2016 	
character=Secretary	name=Maria Luisa Diuza	episodes=2 episodes, 2015 	
character=Gaviria	name=Maria Luisa Diuza	episodes=2 episodes, 2015 	
character=Gabriela	name=Carolina Acevedo	episodes=2 episodes, 2016 	
character=Major Baiz	name=Julian Rodriguez	episodes=2 episodes, 2015 	
character=Rosa	name=Alejandra Lara	episodes=2 episodes, 2016 	
character=Manuel	name=Yesi García	episodes=2 episodes, 2016 	
character=Prostitute	name=Ángela Forero	episodes=2 episodes, 2016 	
character=CNP Officer	name=Javier Achury	episodes=2 episodes, 2016-2017 	
character=Paula	name=Cristina Restrepo	episodes=2 episodes, 2016 	
character=Pablo Sicario 2	name=Alejandro Gomez	episodes=2 episodes, 2015 	
character=Advisor 	name=Javier Sáenz	episodes=2 episodes, 2016 	
character=Ortiz	name=Kevin Marin	episodes=2 episodes, 2016 	
character=Accountant	name=Ernesto Alcalde	episodes=2 episodes, 2015 	
character=Military Man	name=Michael Uribe	episodes=2 episodes, 2015 	
character=Pablo Sicario 3	name=Alejandro Rubio	episodes=2 episodes, 2015 	
character=News Reporter	name=Julieth Giraldo	episodes=2 episodes, 2015-2016 	
character=El Tosca	name=Dorian Keller	episodes=2 episodes, 2015 	
character=Pablo Sicario 4	name=Javier Rodriguez	episodes=2 episodes, 2015 	
character=Cesar	name=Camilo Amores	episodes=2 episodes, 2016 	
character=Katie	name=Laura Londoño	episodes=2 episodes, 2017 	
character=Presidential Aide	name=Alejandro Gutierrez	episodes=2 episodes, 2016 	
character=Calí Taxi Driver	name=Juan Cardona	episodes=2 episodes, 2017 	
character=Waitress	name=Wendy Susan Hammer	episodes=2 episodes, 2017 	
character=Spotter 2	name=Dubán Andrés Prado	episodes=2 episodes, 2016 	
character=American Pilot	name=Jeff Glaser	episodes=2 episodes, 2016-2017 	
character=Alejandro Ayala	name=Rafael Cebrián	episodes=2 episodes, 2015 	
character=Capitan Sastoque	name=Ed Roa	episodes=2 episodes, 2015 	
character=Dominican Gangster	name=Gabriel Iglesias	episodes=1 episode, 2017 	
character=Abel Escobar	name=Alfredo Castro	episodes=1 episode, 2016 	
character=Kevin Brady	name=A.J. Buckley	episodes=1 episode, 2015 	
character=Minister Lara	name=Adan Canto	episodes=1 episode, 2015 	
character=Senator Martin	name=Glenn Morshower	episodes=1 episode, 2017 	
character=La Cucaracha	name=Luis Gnecco	episodes=1 episode, 2015 	
character=Sergio	name=Carlos Congote	episodes=1 episode, 2017 	
character=Helena	name=Adria Arjona	episodes=1 episode, 2015 	
character=Special Forces Commander	name=Gabriel Mangones	episodes=1 episode, 2015 	
character=Gilbert Mills	name=Curtiss Cook	episodes=1 episode, 2017 	
character=Fredy	name=David Valencia	episodes=1 episode, 2017 	
character=Fiscale	name=Camilo Colmenares	episodes=1 episode, 2017 	
character=Barry Seal aka McPickle	name=Dylan Bruno	episodes=1 episode, 2015 	
character=Jaime Mendoza	name=Steven Salcedo	episodes=1 episode, 2016 	
character=Herrera DAS Agent	name=Adrián Jiménez	episodes=1 episode, 2015 	
character=Jairo Ortega	name=Julian Bustamante	episodes=1 episode, 2015 	
character=Andrés	name=Malcolm Ruíz	episodes=1 episode, 2017 	
character=Ibarra DAS Agent	name=Jorge Castellanos	episodes=1 episode, 2015 	
character=Asst. U.S. Attorney	name=Brian Guest	episodes=1 episode, 2017 	
character=Ivan	name=Orlando Bernal	episodes=1 episode, 2017 	
character=Freddy Gacha	name=Jair Arango Meneses	episodes=1 episode, 2015 	
character=Henry Loaiza	name=Álex Quiroga	episodes=1 episode, 2017 	
character=Yasiel	name=Ricardo de la Vega	episodes=1 episode, 2017 	
character=Gacha	name=Diana Isabel Acevedo	episodes=1 episode, 2015 	
character=Maid	name=Diana Isabel Acevedo	episodes=1 episode, 2015 	
character=Lieutenant Dominguez	name=Johan Méndez	episodes=1 episode, 2015 	
character=Lieutenant	name=Juan Guillermo Rangel	episodes=1 episode, 2016 	
character=Search Block Captain	name=Joaquín García	episodes=1 episode, 2016 	
character=Díaz	name=Fernando Lara	episodes=1 episode, 2017 	
character=Ernesto	name=Johnny Ramos	episodes=1 episode, 2017 	
character=Prison Warden	name=Nestor Sastoque	episodes=1 episode, 2017 	
character=The Spaniard	name=Carlos Aguilar	episodes=1 episode, 2015 	
character=Zapata	name=Alexander Doncel	episodes=1 episode, 2015 	
character=CNP Officer	name=Alexander Alzate	episodes=1 episode, 2016 	
character=Search Block Sniper	name=Alejandro Sierra	episodes=1 episode, 2016 	
character=Hernan	name=Ariel Merchan	episodes=1 episode, 2017 	
character=Santos	name=David Ramírez	episodes=1 episode, 2017 	
character=Gonzalo Espedes	name=César Vargas	episodes=1 episode, 2017 	
character=Older Sergeant	name=Mario Roberto Rivero	episodes=1 episode, 2015 	
character=Car Salesman	name=Jaider Velasco	episodes=1 episode, 2015 	
character=Elderly Man	name=Gabriel Moure	episodes=1 episode, 2016 	
character=Beltre	name=Rodolfo Silva	episodes=1 episode, 2017 	
character=Osner	name=Jerry Sanchez	episodes=1 episode, 2017 	
character=Emilio Salazar	name=Andrés Franco	episodes=1 episode, 2017 	
character=Hotel Manager	name=José Puentes	episodes=1 episode, 2017 	
character=Senator	name=Herberto Borjas	episodes=1 episode, 2015 	
character=Policeman	name=Yesid Moreno	episodes=1 episode, 2015 	
character=Partner	name=Buster Rojas	episodes=1 episode, 2015 	
character=Gacha	name=Buster Rojas	episodes=1 episode, 2015 	
character=Juan Pablo Escobar	name=Juan Murica	episodes=1 episode, 2015 	
character=Waitress	name=Shelly Guberek	episodes=1 episode, 2016 	
character=Heaven	name=Massiel Mordan	episodes=1 episode, 2017 	
character=Gunman 1	name=Fabian Martínez	episodes=1 episode, 2017 	
character=Mercedes Driver Sicario	name=Andrés Durán	episodes=1 episode, 2017 	
character=Congress Guard	name=David Santiago	episodes=1 episode, 2015 	
character=Peru Lab Manager	name=Santiago Tocarruncho	episodes=1 episode, 2015 	
character=Jorge	name=Fabián Aranda	episodes=1 episode, 2016 	
character=Bus Passenger	name=Stiven Lourido	episodes=1 episode, 2016 	
character=Senator Toyle	name=Louis Herthum	episodes=1 episode, 2017 	
character=Stylist 	name=Lisann Valentin	episodes=1 episode, 2017 	
character=Bernardo Gonzales	name=Luis Eduardo Motoa	episodes=1 episode, 2017 	
character=Paola	name=Constanza Gutierrez	episodes=1 episode, 2017 	
character=Mom	name=Constanza Gutierrez	episodes=1 episode, 2017 	
character=Gunman 2	name=Fabio Mugno	episodes=1 episode, 2017 	
character=Professor at Stanford	name=William Lowe	episodes=1 episode, 2015 	
character=Taxi Driver	name=Carlos Martinez	episodes=1 episode, 2015 	
character=Yamile	name=Paola Barrera	episodes=1 episode, 2016 	
character=Piraña	name=Harby Rodriguez	episodes=1 episode, 2016 	
character=Priest	name=Daniel Páez	episodes=1 episode, 2017 	
character=Receptionist	name=Sindy Alexis Baquero	episodes=1 episode, 2017 	
character=Prison Guard	name=Oscar Rodo	episodes=1 episode, 2017 	
