# http://fitlayout.github.io/resource/art15 -> https://www.imdb.com/title/tt1442449/fullcredits/
character=Janus	name=Marlow Robinson	episodes=2 episodes, 2010 	
character=Cossutius	name=Jason Hood	episodes=2 episodes, 2012 	
character=City Guard	name=Sam Bunkall	episodes=2 episodes, 2013 	
character=Drenis	name=Kyle Rowling	episodes=1 episode, 2010 	
character=Byzo	name=John Rawls	episodes=1 episode, 2010 	
character=Titus Batiatus	name=Jeffrey Thomas	episodes=1 episode, 2012 	
character=Tribune	name=Aron Eastwood	episodes=1 episode, 2010 	
character=Anubis	name=Marcus Johnson	episodes=1 episode, 2010 	
character=Numerius	name=Liam Powell	episodes=1 episode, 2010 	
character=Marcus	name=Kyle Pryor	episodes=1 episode, 2010 	
character=Segovax	name=Mike Edward	episodes=1 episode, 2010 	
character=Cossinius	name=John Wraight	episodes=1 episode, 2013 	
character=Priestess	name=Catherine Boniface	episodes=1 episode, 2010 	
character=Vibius	name=Robert McCulley	episodes=1 episode, 2010 	
character=Furius	name=Jared Turner	episodes=1 episode, 2013 	
character=Theokoles	name=Reuben de Jong	episodes=1 episode, 2010 	
character=Sextus	name=Andrew Laing	episodes=1 episode, 2010 	
character=Gambler	name=Samuel E. Shore	episodes=1 episode, 2010 	
character=Harudes	name=Carl Grace	episodes=1 episode, 2012 	
character=Pompey	name=Joel Tobeck	episodes=1 episode, 2013 	
character=Hilarus	name=Richard Norton	episodes=1 episode, 2013 	
character=Dour Soldier	name=Will Hall	episodes=1 episode, 2013 	
character=Messenger	name=Francis Mountjoy	episodes=1 episode, 2010 	
character=Guard	name=Scott Polkinghorne	episodes=1 episode, 2010 	
character=Ovidius Son	name=Dylan Hopkins	episodes=1 episode, 2010 	
character=Pompeii Magistrate	name=Phil Grieve	episodes=1 episode, 2010 	
character=Bat Guard	name=Owain Pennington	episodes=1 episode, 2010 	
character=Sedullus	name=Conan Stevens	episodes=1 episode, 2012 	
character=Cart Driver	name=Jonathan Costelloe	episodes=1 episode, 2010 	
character=Young Oenomaus	name=Tapiwa Soropa	episodes=1 episode, 2012 	
character=Messenger	name=Bryce Langston	episodes=1 episode, 2013 	
character=Wounded Soldier	name=Lachlan Parkinson	episodes=1 episode, 2013 	
character=Recruit 	name=Steven Smith	episodes=1 episode, 2010 	
character=Lead Hunter	name=Rowan Bettjeman	episodes=1 episode, 2012 	
character=Dominus	name=Mark Ferguson	episodes=1 episode, 2012 	
character=Herius	name=David Stott	episodes=1 episode, 2012 	
character=Adal	name=Arlo Gibson	episodes=1 episode, 2013 	
character=Roman Guard	name=Ross Brannigan	episodes=1 episode, 2012 	
character=Drunkard	name=John Davies	episodes=1 episode, 2012 	
character=Controller	name=Monish Anand	episodes=1 episode, 2012 	
character=Mummius	name=Adam Gardiner	episodes=1 episode, 2013 	
character=Veteran Soldier	name=Patrick Hales	episodes=1 episode, 2013 	
character=Ennius	name=Pete Muller	episodes=1 episode, 2013 	
character=Pit Boss	name=Daniel Cleary	episodes=1 episode, 2012 	
character=Young Male Slave	name=Elliot Christensen-Yule	episodes=1 episode, 2012 	
character=Male House Slave	name=Ciarin Smith	episodes=1 episode, 2012 	
character=Cassius	name=Jordan Mooney	episodes=1 episode, 2013 	
character=Laurus	name=Andrew Grainger	episodes=1 episode, 2013 	
character=Lead Soldier	name=Mark Huston	episodes=1 episode, 2013 	
character=Slave Trader	name=Stephen Ure	episodes=1 episode, 2012 	
character=Scar Merc	name=Bede Skinner	episodes=1 episode, 2012 	
character=Hell Beast	name=Joel Oliver	episodes=1 episode, 2012 	
character=Man in Crowd	name=Preston O	episodes=1 episode, 2012 	
character=Man in Crowd	name=Brien	episodes=1 episode, 2012 	
character=Cossinius Tribune	name=Matt Gibbons	episodes=1 episode, 2013 	
character=Sleazy Guy	name=Dallas Barnett	episodes=1 episode, 2012 	
character=Point Soldier	name=Wade Jackson	episodes=1 episode, 2012 	
character=Ferox	name=Karlos Wrennall	episodes=1 episode, 2012 	
character=Arms Merchant	name=Phil Peleton	episodes=1 episode, 2013 	
character=Masonius	name=Akotene Chanoine	episodes=1 episode, 2012 	
character=Portly Woman	name=Sarah Jane Wright	episodes=1 episode, 2012 	
character=Foreman	name=John Dybvig	episodes=1 episode, 2012 	
character=Guard 	name=Norman McFadyen	episodes=1 episode, 2012 	
character=Blond Guard	name=Leonardo Afon	episodes=1 episode, 2013 	
character=Slaver	name=Michael Chiappa	episodes=1 episode, 2012 	
character=Male Slave	name=Shadon Meredith	episodes=1 episode, 2013 	
character=Roman Mother	name=Colleen Davis	episodes=1 episode, 2013 	
character=Guard	name=Sam Snedden	episodes=1 episode, 2013 	
character=The Veteran	name=Shane Blakey	episodes=12 episodes, 2010-2013 	
character=Slave	name=Chris Petrovski	episodes=8 episodes, 2010 	
character=Rebel	name=Rosalie Button	episodes=8 episodes, 2012-2013 	
character=Arena Crowd Member	name=Mayen Mehta	episodes=7 episodes, 2010 	
