# http://fitlayout.github.io/resource/art23 -> https://www.imdb.com/title/tt1442462/fullcredits/
character=Detective Anthony Burton	name=James Carpinello	episodes=5 episodes, 2010 	
character=Judge Michael Marx	name=Dominic Chianese	episodes=5 episodes, 2012-2015 	
character=Judge Thomas Politi	name=Vincent Curatola	episodes=5 episodes, 2013-2014 	
character=Matt Becker	name=Jeremy Strong	episodes=5 episodes, 2011-2013 	
character=Kya Poole	name=Francie Swift	episodes=5 episodes, 2009-2010 	
character=Judge Harvey Winter	name=Peter Riegert	episodes=5 episodes, 2009-2012 	
character=Patric Edelstein	name=Jack Carpenter	episodes=5 episodes, 2011-2014 	
character=Judge Patrice Lessner	name=Ana Gasteyer	episodes=5 episodes, 2010-2014 	
character=Marina Vassel	name=Cady Huffman	episodes=5 episodes, 2011-2014 	
character=Carter Schmidt	name=Christian Borle	episodes=5 episodes, 2013-2015 	
character=Detective Gary Prima	name=John Ventimiglia	episodes=5 episodes, 2014-2015 	
character=Judge Suzanne Morris	name=Jane Alexander	episodes=5 episodes, 2011-2015 	
character=John Gaultner	name=Robbie Sublett	episodes=5 episodes, 2012-2013 	
character=Jimmy Patrick	name=Ismael Cruz Cordova	episodes=5 episodes, 2011 	
character=Sondra	name=Kia Goodwin	episodes=5 episodes, 2013-2015 	
character=Detective Gifford	name=Charlie Pollock	episodes=5 episodes, 2014-2016 	
character=Assistant	name=Vanessa Wasche	episodes=5 episodes, 2011-2013 	
character=Receptionist	name=Flor De Liz Perez	episodes=5 episodes, 2010-2014 	
character=Courtney Paige	name=Vanessa Williams	episodes=4 episodes, 2015 	
character=Natalie Flores	name=America Ferrera	episodes=4 episodes, 2011-2013 	
character=Damian Boyle	name=Jason O	episodes=4 episodes, 2013-2014 	
character=Damian Boyle	name=Mara	episodes=4 episodes, 2013-2014 	
character=Sophia Russo	name=Kelli Giddish	episodes=4 episodes, 2011-2014 	
character=Jeremiah Easton	name=Frankie Faison	episodes=4 episodes, 2010-2015 	
character=Josh Perotti	name=Kyle MacLachlan	episodes=4 episodes, 2013-2014 	
character=Stephen Dinovera	name=Michael Urie	episodes=4 episodes, 2014-2016 	
character=Detective Jenna Villette	name=Jordana Spiro	episodes=4 episodes, 2013-2014 	
character=Martha Reed	name=Grace Rex	episodes=4 episodes, 2011-2016 	
character=Simone Canning	name=Susan Misner	episodes=4 episodes, 2011-2015 	
character=Jared Andrews	name=John Glover	episodes=4 episodes, 2011-2015 	
character=Deena Lampard	name=Megan Ketch	episodes=4 episodes, 2013-2015 	
character=Martin Parillo	name=Remy Auberjonois	episodes=4 episodes, 2010-2015 	
character=Burl Preston	name=F. Murray Abraham	episodes=4 episodes, 2011-2014 	
character=Bill	name=P.J. Brown	episodes=4 episodes, 2012 	
character=Jeff Dellinger	name=Zach Woods	episodes=4 episodes, 2013-2016 	
character=Judge Tom Glatt	name=John Procaccino	episodes=4 episodes, 2014-2015 	
character=Shannon Vargas	name=Paulina Gerzon	episodes=4 episodes, 2009-2011 	
character=Ramona Lytton	name=Connie Nielsen	episodes=4 episodes, 2014-2015 	
character=Mike Tascioni	name=Will Patton	episodes=4 episodes, 2016 	
character=Charles Froines	name=Michael Kostroff	episodes=4 episodes, 2013-2016 	
character=Olivia Suconik	name=Stephanie Kurtzuba	episodes=4 episodes, 2010-2014 	
character=Harris the Bailiff	name=José Ramón Rosario	episodes=4 episodes, 2014-2016 	
character=Judge George Kluger	name=Jeffrey Tambor	episodes=4 episodes, 2013-2014 	
character=Mike Kresteva	name=Matthew Perry	episodes=3 episodes, 2012-2013 	
character=Nelson Dubeck	name=Eric Bogosian	episodes=3 episodes, 2014 	
character=Vanessa Gold	name=Parker Posey	episodes=3 episodes, 2011-2012 	
character=Gerald Kozko	name=Terry Kinney	episodes=3 episodes, 2010 	
character=Wilk Hobson	name=Frederick Weller	episodes=3 episodes, 2010-2013 	
character=Stacie Hall	name=Amy Sedaris	episodes=3 episodes, 2011-2012 	
character=Jeffrey Grant	name=Hunter Parrish	episodes=3 episodes, 2013-2014 	
character=Dean Levine-Wilkins	name=Taye Diggs	episodes=3 episodes, 2014 	
character=R.D.	name=Oliver Platt	episodes=3 episodes, 2015 	
character=Victoria Adler	name=Kate Burton	episodes=3 episodes, 2009-2012 	
character=Captain Terrence Hicks	name=Patrick Breen	episodes=3 episodes, 2010-2016 	
character=Petra Moritz	name=Lily Rabe	episodes=3 episodes, 2011-2015 	
character=Charles Lester	name=Wallace Shawn	episodes=3 episodes, 2013-2015 	
character=Rayna Hecht	name=Jill Hennessy	episodes=3 episodes, 2014 	
character=Roland Hlavin	name=John Magaro	episodes=3 episodes, 2015-2016 	
character=Giada Cabrini	name=Karen Olivo	episodes=3 episodes, 2010-2012 	
character=Justin Coyne	name=Romany Malco	episodes=3 episodes, 2011 	
character=Geoffrey Solomon	name=Richard Masur	episodes=3 episodes, 2015-2016 	
character=Judge Timothy Stanek	name=Peter Gerety	episodes=3 episodes, 2010-2013 	
character=Judge Carmella Romano	name=Joanna Gleason	episodes=3 episodes, 2009-2012 	
character=Alma Hoff	name=Becky Ann Baker	episodes=3 episodes, 2012-2016 	
character=Ethan Carver	name=Peter Gallagher	episodes=3 episodes, 2015 	
character=Holly Westfall	name=Megan Hilty	episodes=3 episodes, 2016 	
character=Amber Madison	name=Kim Shaw	episodes=3 episodes, 2009-2010 	
character=Judge Alan Karpman	name=Fred Melamed	episodes=3 episodes, 2011-2014 	
character=Judge Claudia Friend	name=Bebe Neuwirth	episodes=3 episodes, 2012-2013 	
character=Cristián Romano	name=Yul Vazquez	episodes=3 episodes, 2012-2013 	
character=Indira Starr	name=Liz Holtan	episodes=3 episodes, 2012 	
character=Detective Lou Johnson	name=James McDaniel	episodes=3 episodes, 2010-2014 	
character=Jonas Stern	name=Kevin Conway	episodes=3 episodes, 2009-2011 	
character=Judge Leora Kuhn	name=Linda Emond	episodes=3 episodes, 2010-2012 	
character=Clinton Foyle	name=Damian Young	episodes=3 episodes, 2015-2016 	
character=Ted Willoughby	name=Mo Rocca	episodes=3 episodes, 2015-2016 	
character=Sheriff	name=Daniel Stewart Sherman	episodes=3 episodes, 2010 	
character=Celeste Serrano	name=Lisa Edelstein	episodes=3 episodes, 2011 	
character=Brian Carter	name=Brian Muller	episodes=3 episodes, 2015 	
character=Lauren Lytton	name=Katie Paxton	episodes=3 episodes, 2014 	
character=Gary	name=Greg Hildreth	episodes=3 episodes, 2011-2013 	
character=Isabel	name=Hannah Sorenson	episodes=3 episodes, 2013 	
character=Jonathan Mattis	name=Haynes Thigpen	episodes=3 episodes, 2014-2016 	
character=Joy Grubick	name=Linda Lavin	episodes=3 episodes, 2014-2015 	
character=Judge James Chase	name=Kenneth Tigar	episodes=3 episodes, 2012-2013 	
character=Dirk	name=Phillip Shinn	episodes=3 episodes, 2015 	
character=Bernie Bukovitz	name=Rob Bartlett	episodes=3 episodes, 2015-2016 	
character=Chris Matthews	name=Chris Matthews	episodes=3 episodes, 2011-2016 	
character=Jon-Erik Shapiro	name=Seth Fisher	episodes=3 episodes, 2010-2011 	
character=Stacie	name=Julie Sharbutt	episodes=3 episodes, 2013 	
character=Lana Timmerman	name=Rebecca Brooksher	episodes=3 episodes, 2010-2011 	
character=Self	name=Donna Brazile	episodes=3 episodes, 2011-2013 	
character=Diane	name=Jennifer Lim	episodes=3 episodes, 2011 	
character=Assistant	name=Jennifer Lim	episodes=3 episodes, 2011 	
character=Self	name=Erica Hill	episodes=3 episodes, 2010-2011 	
character=Self	name=Robert Johnson	episodes=3 episodes, 2011-2015 	
character=Bea Wilson	name=Kelly Bishop	episodes=2 episodes, 2010-2016 	
character=Daniel Hecht	name=J.T. O	episodes=1 episode, 2011-2015 	
character=Daniel Hecht	name=Connor	episodes=1 episode, 2011-2015 	
character=Dylan Stack	name=Jason Biggs	episodes=2 episodes, 2012-2013 	
character=Rowby Canton	name=Matthew Lillard	episodes=2 episodes, 2014-2016 	
character=Bucky Stabler	name=Brian Dennehy	episodes=2 episodes, 2012 	
character=Renata Ellard	name=Laura Benanti	episodes=2 episodes, 2014-2015 	
character=Bree	name=Emily Bergl	episodes=2 episodes, 2009 	
character=Peggy Byrne	name=Kristin Chenoweth	episodes=2 episodes, 2012 	
character=Detective Frank Seabrook	name=Dash Mihok	episodes=2 episodes, 2009-2010 	
character=Judge Hal Ferris	name=Jay O. Sanders	episodes=2 episodes, 2011-2016 	
character=Tommy Segara	name=Dennis Boutsikaris	episodes=2 episodes, 2011-2012 	
character=Mickey Gunn	name=Michael Kelly	episodes=2 episodes, 2011 	
character=David LaGuardia	name=Hamish Linklater	episodes=2 episodes, 2012-2013 	
character=Jack Copeland	name=Bryan Brown	episodes=2 episodes, 2012 	
character=Jeffrey Agos	name=John Shea	episodes=2 episodes, 2012-2013 	
character=Imani Stonehouse	name=Nicole Beharie	episodes=2 episodes, 2011 	
character=Todd Roda	name=Aaron Staton	episodes=2 episodes, 2011 	
character=Isobel Swift	name=Morena Baccarin	episodes=2 episodes, 2012-2013 	
character=Lorainne Joy	name=Polly Draper	episodes=2 episodes, 2014 	
character=Anthony Dudewitz	name=Joey Slotnick	episodes=2 episodes, 2015-2016 	
character=Lyle Pollard	name=Robert Klein	episodes=2 episodes, 2013-2014 	
character=Camilla Vargas	name=Jan Maxwell	episodes=2 episodes, 2014 	
character=Virginia Sun	name=Leslie Hendrix	episodes=2 episodes, 2009-2010 	
character=Detective Harcourt	name=Wayne Duvall	episodes=2 episodes, 2011 	
character=Walter Kermani	name=James Eckhouse	episodes=2 episodes, 2011 	
character=Neil Howard Sloan-Jacob	name=Christopher Sieber	episodes=2 episodes, 2011-2016 	
character=Judge Greg Brochard	name=Brooks Ashmanskas	episodes=2 episodes, 2012-2014 	
character=Matthew Ashbaugh	name=John Noble	episodes=2 episodes, 2013 	
character=Lloyd Garber	name=Howard McGillin	episodes=2 episodes, 2016 	
character=Sonya Rucker	name=Sonja Sohn	episodes=2 episodes, 2010-2013 	
character=Judge Murphy Wicks	name=Stephen Root	episodes=2 episodes, 2012 	
character=Ronnie Erickson	name=Dan Lauria	episodes=2 episodes, 2013-2015 	
character=Detective Doug Young	name=Will Chase	episodes=2 episodes, 2013-2014 	
character=Stephen Delaney	name=Max von Essen	episodes=2 episodes, 2013-2014 	
character=Warden Robert Barkin	name=Michael Pemberton	episodes=2 episodes, 2010-2013 	
character=Jacob Rickter	name=Seth Gilliam	episodes=2 episodes, 2011-2015 	
character=Spencer Roth	name=David Pittu	episodes=2 episodes, 2010-2012 	
character=Judge Ilya Petrov	name=Tibor Feldman	episodes=2 episodes, 2010-2014 	
character=Eddie Kolakowski	name=John Lutz	episodes=2 episodes, 2011-2012 	
character=Anne Stevens	name=Talia Balsam	episodes=2 episodes, 2013-2014 	
character=Sheriff Gibson	name=Lenny Venito	episodes=2 episodes, 2014 	
character=Detective Rick Crowell	name=Andrew Dolan	episodes=2 episodes, 2015-2016 	
character=Guy Redmayne	name=Edward Asner	episodes=2 episodes, 2015 	
character=Ernie Nolan	name=Michael Gaston	episodes=2 episodes, 2014-2015 	
character=Mark D	name=Desmin Borges	episodes=2 episodes, 2011-2013 	
character=Amico	name=Desmin Borges	episodes=2 episodes, 2011-2013 	
character=Candace Frawley	name=Tonya Glanz	episodes=2 episodes, 2013-2014 	
character=Callie Simko	name=Julianne Nicholson	episodes=2 episodes, 2012 	
character=Rodney Jesko	name=John Michael Higgins	episodes=2 episodes, 2011-2013 	
character=Beth Ferretti	name=Victoria Mack	episodes=2 episodes, 2012-2013 	
character=Andrea Stevens	name=Christine Lahti	episodes=2 episodes, 2015-2016 	
character=Sheriff	name=Shauna Miles	episodes=2 episodes, 2011-2014 	
character=Nelson Fong	name=Johnny M. Wu	episodes=2 episodes, 2014 	
character=Sheriff Lang	name=Matte Osian	episodes=2 episodes, 2014 	
character=Simon Fischbein	name=Merwin Goldsmith	episodes=2 episodes, 2013-2014 	
character=James Paisley	name=Tom Skerritt	episodes=2 episodes, 2014 	
character=Joel Kingsley-Weaver	name=Ian Unterman	episodes=2 episodes, 2015 	
character=David Howell	name=Ash Christian	episodes=2 episodes, 2011-2014 	
character=Frank Michael Thomas	name=Fred Thompson	episodes=2 episodes, 2011-2012 	
character=Old Woman	name=Elaine Kussack	episodes=2 episodes, 2009-2016 	
character=Gordon Higgs	name=Bob Balaban	episodes=2 episodes, 2011-2012 	
character=Glenn Childs Jr.	name=Ryan McGinnis	episodes=2 episodes, 2010-2011 	
character=M.E. Tom Li	name=Francis Jue	episodes=2 episodes, 2010 	
character=Deborah	name=Jenna Gavigan	episodes=2 episodes, 2012-2013 	
character=Crypto Barker 	name=Jeremy Beiler	episodes=2 episodes, 2012-2013 	
character=Chief Justice Virgil Ryvlan	name=Jeffrey DeMunn	episodes=2 episodes, 2013 	
character=Trey Wagner	name=Samuel Smith	episodes=2 episodes, 2014 	
character=Barry Scheck	name=Barry Scheck	episodes=2 episodes, 2010-2013 	
character=Don Weingarten	name=Daniel Abeles	episodes=2 episodes, 2015 	
character=Sarah	name=Emerald-Angel Young	episodes=2 episodes, 2012-2014 	
character=Ned Grant	name=Peter Ashton Wise	episodes=2 episodes, 2014 	
character=Bailiff	name=John Deyle	episodes=2 episodes, 2009 	
character=Judge Jane Moretti	name=Leslie Lyles	episodes=2 episodes, 2010-2011 	
character=Roger Garber	name=John Leonard Thompson	episodes=2 episodes, 2013-2014 	
character=Security Guard	name=Bob Jesser	episodes=2 episodes, 2010 	
character=Diane	name=Julienne Hanzelka Kim	episodes=2 episodes, 2013-2014 	
character=Assistant	name=Julienne Hanzelka Kim	episodes=2 episodes, 2013-2014 	
character=Comedian	name=Will Vought	episodes=2 episodes, 2014 	
character=Marsha	name=Isis King	episodes=2 episodes, 2010 	
character=Jacques	name=David Drake	episodes=2 episodes, 2012 	
character=Cop 	name=Bob Roseman	episodes=2 episodes, 2014-2015 	
character=Jim Lenard	name=Sheldon Best	episodes=2 episodes, 2014 	
character=Self	name=Vernon Jordan	episodes=1 episode, 2010 	
