# http://fitlayout.github.io/resource/art26 -> https://www.imdb.com/title/tt2628232/fullcredits/
character=Young Peter	name=Xavier Atkins	episodes=1 episode, 2014 	
character=Gun Shop Proprietor	name=Chris McHallem	episodes=1 episode, 2014 	
character=William	name=Lucas Farren	episodes=1 episode, 2014 	
character=Ernest	name=Toole	episodes=1 episode, 2014 	
character=Ernest	name=Nathan O	episodes=1 episode, 2014 	
character=Lead Familiar	name=Fady Elsayed	episodes=1 episode, 2014 	
character=Gordon Ives	name=Michael James Ford	episodes=1 episode, 2014 	
character=Telegraph Clerk	name=Paul Ward	episodes=1 episode, 2014 	
character=Jack	name=Jer O	episodes=1 episode, 2015 	
character=Jack	name=Leary	episodes=1 episode, 2015 	
character=Bored Policeman	name=Ross Mac Mahon	episodes=1 episode, 2015 	
character=Captain Branson	name=Joseph Millson	episodes=1 episode, 2014 	
character=Sailor	name=Rick Burn	episodes=1 episode, 2014 	
character=Gentleman	name=Stephen Bradley	episodes=1 episode, 2014 	
character=Tavern Woman	name=Gail Fitzpatrick	episodes=1 episode, 2015 	
character=Nun	name=Rosemary Henderson	episodes=1 episode, 2015 	
character=Barman - Train	name=Patrick Joseph Byrnes	episodes=1 episode, 2016 	
character=Nurse Ruth	name=Diane Jennings	episodes=1 episode, 2014 	
character=Other Gentleman	name=Frank Prendergast	episodes=1 episode, 2014 	
character=Mortuary Boss	name=Pat McGrath	episodes=1 episode, 2014 	
character=Gladys	name=Pagan McGrath	episodes=1 episode, 2015 	
character=Maid	name=Pagan McGrath	episodes=1 episode, 2015 	
character=Mrs. Bazarov	name=Barbara Brennan	episodes=1 episode, 2015 	
character=Woman	name=Elif Knight	episodes=1 episode, 2016 	
character=Sheriff	name=Paul McCloskey	episodes=1 episode, 2016 	
character=Salesman	name=Ian Patterson	episodes=1 episode, 2016 	
character=Woman 	name=Mary Murray	episodes=1 episode, 2014 	
character=Broker	name=Morgan C. Jones	episodes=1 episode, 2015 	
character=Curator	name=Frank Smith	episodes=1 episode, 2015 	
character=Ship Doctor	name=Andrew Bridgmont	episodes=1 episode, 2016 	
character=Woman 	name=Helen Norton	episodes=1 episode, 2014 	
character=Man at Opera 	name=Anthony Delaney	episodes=1 episode, 2015 	
character=Clare Chandler	name=Amber Fernée	episodes=1 episode, 2015 	
character=Sailor 	name=Bradley Hall	episodes=1 episode, 2016 	
character=Police Photographer	name=Alvaro Lucchesi	episodes=1 episode, 2014 	
character=Charles Chandler	name=Noah Jupe	episodes=1 episode, 2015 	
character=Man at Opera 	name=Brien	episodes=1 episode, 2015 	
character=Man at Opera 	name=Matthew O	episodes=1 episode, 2015 	
character=Suffragette Leader	name=Olga Wehrly	episodes=1 episode, 2016 	
character=Sailor 	name=Jack Olohan	episodes=1 episode, 2016 	
character=Constable	name=Dylan McDonough	episodes=1 episode, 2014 	
character=Dress Shop Owner	name=Rachael Dowling	episodes=1 episode, 2015 	
character=Train Man 	name=Liam Hourican	episodes=1 episode, 2016 	
character=Felix	name=Gary Fox	episodes=1 episode, 2014 	
character=Fencer 	name=Jack Hamilton	episodes=1 episode, 2016 	
character=Train Man 	name=Jaimie Carswell	episodes=1 episode, 2016 	
character=Rancher	name=Matt McClure	episodes=1 episode, 2016 	
character=Magic Lantern Proprietor	name=Richard Doubleday	episodes=1 episode, 2016 	
character=Woman	name=Aine Hayden	episodes=1 episode, 2016 	
character=Museum Employee	name=Bryan Baker	episodes=1 episode, 2016 	
character=Old Native American Woman	name=Tantoo Cardinal	episodes=1 episode, 2016 	
character=Poor Boy	name=David Walsh	episodes=4 episodes, 2014 	
character=Gentleman	name=Peter Robbie	episodes=2 episodes, 2014 	
character=Nobleman	name=Mark Quigley	episodes=2 episodes, 2015 	
character=Nathaniel Morris	name=Richard Riddell	episodes=1 episode, 2014 	
character=Lady at the Séance	name=Leticia Dolera	episodes=1 episode, 2014 	
character=Hospital Porter	name=Peter Miles	episodes=1 episode, 2014 	
character=The Beautiful Woman	name=Raluca-Sandra Moore	episodes=1 episode, 2014 	
character=Partygoer	name=Melissa Lawlor	episodes=1 episode, 2014 	
character=Dorian	name=Melissa Lawlor	episodes=1 episode, 2014 	
character=Rat-baiting Referee	name=Bobby Aherne	episodes=1 episode, 2014 	
character=Audience Member	name=Darragh O	episodes=1 episode, 2014 	
character=Audience Member	name=Connor	episodes=1 episode, 2014 	
character=Nobleman	name=Graeme Redmond	episodes=1 episode, 2014 	
character=Screaming Woman	name=Melissa Maria Carton	episodes=1 episode, 2014 	
character=Man at the Sèance	name=Keith Murphy	episodes=1 episode, 2014 	
character=Cowgirl	name=Olivia Fahy	episodes=1 episode, 2014 	
character=Man	name=Adam Behan	episodes=1 episode, 2016 	
character=Jared	name=Adam Behan	episodes=1 episode, 2016 	
character=Red Coat Soldier	name=Adam William Cahill	episodes=1 episode, 2016 	
character=Waiter	name=Mirsad Ibisevic	episodes=1 episode, 2016 	
character=Familiar 	name=Fabien Oman	episodes=1 episode, 2016 	
character=Familiar	name=Henri Välikangas	episodes=1 episode, 2016 	
character=Red Coat Officer	name=Darren Lyons	episodes=1 episode, 2016 	
