# http://fitlayout.github.io/resource/art99 -> https://www.imdb.com/title/tt7949218/fullcredits/
character=Age 12	name=Millie Davis	episodes=1 episode, 2019 	
character=Haniwa 	name=Millie Davis	episodes=1 episode, 2019 	
character=Maldeogo	name=Nicolas Grimes	episodes=1 episode, 2021 	
character=Lady An	name=Gabrielle Rose	episodes=1 episode, 2019 	
character=King	name=Gardiner Millar	episodes=1 episode, 2019 	
character=Scentier 1	name=Camillia Mahal	episodes=1 episode, 2019 	
character=Sammy	name=Christian Darrel Scott	episodes=1 episode, 2019 	
character=Commander Watts	name=Michelle Giroux	episodes=1 episode, 2021 	
character=Rebel Witchfinder	name=Kostas Tourlentes	episodes=1 episode, 2022 	
character=Young Maghra	name=Ava Joy	episodes=1 episode, 2019 	
character=Archer	name=Leo Rano	episodes=1 episode, 2019 	
character=Sheena	name=Jaidyn Triplett	episodes=1 episode, 2019 	
character=Scentier 2	name=Dagan Nish	episodes=1 episode, 2019 	
character=Ilun	name=Sharon Taylor	episodes=1 episode, 2019 	
character=Tipi Village	name=Robert Corness	episodes=1 episode, 2019 	
character=Old Man 	name=Robert Corness	episodes=1 episode, 2019 	
character=Yakis	name=Eddie McGee	episodes=1 episode, 2021 	
character=House Guard	name=Daniel Barra-Berger	episodes=1 episode, 2021 	
character=Bella	name=Amelia Sargisson	episodes=1 episode, 2022 	
character=Mother	name=Amelia Sargisson	episodes=1 episode, 2022 	
character=Trivantian Soldier	name=Bola Olubowale	episodes=1 episode, 2021 	
character=Handmaiden	name=Emily Nixon	episodes=1 episode, 2021 	
character=Commander Gretar	name=Ryan Allen	episodes=1 episode, 2022 	
character=Remend Skelt	name=Shawn Devlin	episodes=1 episode, 2022 	
character=Bella	name=Abigail Walz	episodes=1 episode, 2022 	
character=Months	name=Nayab Ibodullo	episodes=1 episode, 2022 	
character=Wolffe 	name=Nayab Ibodullo	episodes=1 episode, 2022 	
character=Oxe	name=Ese Atawo	episodes=1 episode, 2019 	
character=Payan Soldier	name=Aimee Bessada	episodes=1 episode, 2021 	
character=Palace Witchfinder	name=James Eddy	episodes=1 episode, 2021 	
character=Edo Commando	name=Breanna Dillon	episodes=1 episode, 2021 	
character=Colonel Stellan	name=Brian Hamman	episodes=1 episode, 2022 	
character=Handmaiden	name=Kathy Beitz	episodes=1 episode, 2022 	
character=Colonel Farks	name=Alex Zahara	episodes=1 episode, 2019 	
character=Salvin Leader	name=Shayla Brown	episodes=1 episode, 2021 	
character=Ayura	name=Susanna Fournier	episodes=1 episode, 2021 	
character=Lt. Raya	name=Danijel Mandic	episodes=1 episode, 2021 	
character=Mourning Mother	name=Alison J. Palmer	episodes=1 episode, 2021 	
character=Pensian Singer	name=Ali Hand	episodes=1 episode, 2022 	
character=Row Vano	name=Hayden Finkelshtain	episodes=1 episode, 2022 	
character=Rider	name=Tommy Clarke	episodes=1 episode, 2019 	
character=Singing Woman	name=Chelsea Russell	episodes=1 episode, 2021 	
character=Valier Tribe Member	name=Xavier Schoppel	episodes=1 episode, 2021 	
character=Yeliss Leader	name=Victor Mifsud	episodes=1 episode, 2021 	
character=Pensian Singer	name=Simone Soman	episodes=1 episode, 2022 	
character=Fethin	name=Megan Charpentier	episodes=1 episode, 2019 	
character=Alkenny Chanter	name=Oliver Peters	episodes=1 episode, 2019 	
character=Zechan	name=Oliver Becker	episodes=1 episode, 2021 	
character=Reyenne Leader	name=Samantha Moore	episodes=1 episode, 2021 	
character=Alkenny Drummer	name=Spencer Prewett	episodes=1 episode, 2019 	
character=Stall Holder 	name=Bola Omodara	episodes=1 episode, 2019 	
character=Vienna	name=Atlin Mitchell	episodes=1 episode, 2021 	
character=Trivantian Trebuchet Operator	name=Adam Ahrens	episodes=1 episode, 2022 	
character=Stall Holder 	name=Jackie Blackmore	episodes=1 episode, 2019 	
character=Quito	name=Mitra Suri	episodes=1 episode, 2021 	
character=Smithee	name=Ian Matthews	episodes=1 episode, 2021 	
character=Elder Council Official	name=Sarah Gale	episodes=1 episode, 2021 	
character=Alpha Flesh Eater	name=Glenn Ennis	episodes=1 episode, 2022 	
character=Pennsan Sketchy Man	name=Bart Badzioch	episodes=1 episode, 2022 	
character=Gilthee	name=Greg Leach	episodes=1 episode, 2022 	
character=Trivantian Trebuchet Operator	name=Bryan Morrison	episodes=1 episode, 2022 	
character=Young Man	name=Nicco Del Rio	episodes=1 episode, 2019 	
character=Snell	name=Josh Cruddas	episodes=1 episode, 2021 	
character=Trivantian Soldier	name=Nickolas Baric	episodes=1 episode, 2021 	
character=Storyteller	name=Michael Giel	episodes=1 episode, 2021 	
character=Witchfinder	name=Sean Kavanaugh	episodes=1 episode, 2021 	
character=Flesh Eater	name=Akotene Chanoine	episodes=1 episode, 2022 	
character=Pennsan Sketchy Men	name=Eli Martyr	episodes=1 episode, 2022 	
character=Rebel Witchfinder	name=Tyler Williams	episodes=1 episode, 2022 	
character=Captain Armagon	name=Dennis Lafond	episodes=1 episode, 2022 	
character=Slayer	name=Rocky Anderson	episodes=1 episode, 2019 	
character=Age 3	name=Lamine Quiqui	episodes=1 episode, 2019 	
character=Kofun 	name=Lamine Quiqui	episodes=1 episode, 2019 	
character=Slaver	name=Glenn Edward Gyorffy	episodes=1 episode, 2021 	
character=Sergeant	name=Jonah Hundert	episodes=1 episode, 2021 	
character=Trivantian Soldier	name=Chris Mark	episodes=1 episode, 2022 	
character=Rebel Witchfinder	name=Geoff Scovell	episodes=1 episode, 2022 	
character=Pennsan Royal Guard	name=Olympia Lukis	episodes=1 episode, 2022 	
character=Mom	name=Kelly Metzger	episodes=1 episode, 2019 	
character=Fethin	name=Kelly Metzger	episodes=1 episode, 2019 	
character=Woman 	name=Kelly Metzger	episodes=1 episode, 2019 	
character=Haniwa 	name=Hayven Oladapo	episodes=1 episode, 2019 	
character=Age 3	name=Hayven Oladapo	episodes=1 episode, 2019 	
character=Scent Chef	name=Noah Lamanna	episodes=1 episode, 2021 	
character=Checkpoint Guard	name=Alex Somerville	episodes=1 episode, 2021 	
character=Rebel Witchfinder	name=Graeme Guthrie	episodes=1 episode, 2022 	
character=Wolffe	name=Sequoia Paterson	episodes=1 episode, 2022 	
character=Priest	name=Darren Moore	episodes=1 episode, 2019 	
character=Age 7	name=Dominic Mariche	episodes=1 episode, 2019 	
character=Kofun 	name=Dominic Mariche	episodes=1 episode, 2019 	
character=Rebel Witchfinder	name=Alex Chung	episodes=1 episode, 2022 	
character=Age 7	name=Jordana Blake	episodes=1 episode, 2019 	
