# http://fitlayout.github.io/resource/art74 -> https://www.imdb.com/title/tt0402711/fullcredits/
character=Reporter	name=Ted Garcia	episodes=4 episodes, 2006-2008 	
character=Judge Dale Melman	name=Richard V. Licata	episodes=4 episodes, 2005-2006 	
character=Female Server	name=Deena Dill	episodes=4 episodes, 2006 	
character=Donny Crane	name=Freddie Prinze Jr.	episodes=3 episodes, 2004-2006 	
character=Renee Winger	name=Missi Pyle	episodes=3 episodes, 2006-2008 	
character=Judge Robert Thompson	name=Howard Hesseman	episodes=3 episodes, 2006-2007 	
character=Vanessa Walker	name=Nia Long	episodes=3 episodes, 2007 	
character=Joseph Washington	name=Craig muMs Grant	episodes=3 episodes, 2007 	
character=Nora Jacobs	name=Keefe	episodes=3 episodes, 2004-2005 	
character=Nora Jacobs	name=Jodi Lyn O	episodes=3 episodes, 2004-2005 	
character=A.D.A. Stewart Betts	name=Peter Onorati	episodes=3 episodes, 2007-2008 	
character=Hyung Lee	name=Ming Lo	episodes=3 episodes, 2004-2008 	
character=Judge Harry Hingham	name=H. Richard Greene	episodes=3 episodes, 2004-2005 	
character=Dana Strickland	name=Rachelle Lefevre	episodes=3 episodes, 2008 	
character=Marshall Kennedy	name=Jim Jansen	episodes=3 episodes, 2007-2008 	
character=Attorney Michael Eaves	name=Mark Derwin	episodes=3 episodes, 2005-2007 	
character=A.D.A. Otto Beedle	name=Patrick Breen	episodes=3 episodes, 2006-2007 	
character=Justice Antonin Scalia	name=Jack Shearer	episodes=3 episodes, 2004-2008 	
character=Judge William Howe	name=Frank Birney	episodes=3 episodes, 2004-2007 	
character=Reverend Donald Diddum	name=Kurt Fuller	episodes=3 episodes, 2005 	
character=Tim Bauer	name=Shawn Christian	episodes=3 episodes, 2005 	
character=Attorney Michael Roker	name=Pat Skipper	episodes=3 episodes, 2005-2008 	
character=A.D.A. Warren Peters	name=Patrick Renna	episodes=3 episodes, 2005-2007 	
character=D.A. Valerie Murrow	name=Lisa Kaminir	episodes=3 episodes, 2005 	
character=A.D.A. Douglas Kupfer	name=Adam Arkin	episodes=3 episodes, 2006 	
character=Judge Leslie Bishop	name=Patricia Belcher	episodes=3 episodes, 2004-2007 	
character=Officer Carl Ralston	name=Randy Thompson	episodes=3 episodes, 2006-2007 	
character=Michael Schiller	name=Ethan Phillips	episodes=3 episodes, 2006 	
character=Judge Blake Winters	name=Thom Gossom Jr.	episodes=3 episodes, 2005-2006 	
character=Clifford Cabot	name=Ed Begley Jr.	episodes=3 episodes, 2006-2007 	
character=Judge Nora Lang	name=Hildy Brooks	episodes=3 episodes, 2004-2007 	
character=Judge Stephen Bickel	name=Christopher Carroll	episodes=3 episodes, 2004-2006 	
character=Annie	name=Jenjer Vick Robin	episodes=3 episodes, 2006-2007 	
character=Newscaster	name=Phillip Palmer	episodes=3 episodes, 2005-2008 	
character=Officer Jones	name=Jack Impellizzeri	episodes=3 episodes, 2005-2007 	
character=Judge Rose Olsheim	name=Mary Boucher	episodes=3 episodes, 2004-2006 	
character=A.D.A. Duncan Jones	name=Jason Blicker	episodes=2 episodes, 2005-2006 	
character=Dr. Frank Wessmer	name=Paul Cassell	episodes=2 episodes, 2007-2008 	
character=Clerk	name=Philip Weyland	episodes=2 episodes, 2006-2008 	
character=Detective Wade Spindle	name=Nigel Gibbs	episodes=2 episodes, 2004-2006 	
character=Fiona	name=Ashley Rios	episodes=3 episodes, 2006 	
character=Court Reporter	name=David Mehl	episodes=1 episode, 2006 	
character=Fiona	name=April Rios	episodes=3 episodes, 2006 	
character=Shocked Woman	name=Rosemary Garris	episodes=1 episode, 2007 	
character=Bartender	name=Rene Napoli	episodes=3 episodes, 2008 	
character=Courtney Reese	name=Jeri Ryan	episodes=2 episodes, 2006 	
character=Attorney Jonathan Weiner	name=Kevin Dunn	episodes=2 episodes, 2006-2007 	
character=John Sciarra	name=Ray Abruzzo	episodes=2 episodes, 2007-2008 	
character=Annabelle Carruthers	name=Loretta Devine	episodes=2 episodes, 2006-2007 	
character=Penelope Kimball	name=Bess Armstrong	episodes=2 episodes, 2008 	
character=A.D.A. Nicholas Preston	name=Robert Joy	episodes=2 episodes, 2004-2005 	
character=Cassie	name=Tamara Feldman	episodes=2 episodes, 2005 	
character=Marlena Hoffman	name=Allison Miller	episodes=2 episodes, 2007-2008 	
character=A.A.G. Jeremy Hollis	name=Tom Amandes	episodes=2 episodes, 2008 	
character=Attorney Daniel Gellman	name=David Starzyk	episodes=2 episodes, 2004-2005 	
character=Erica Dolenz	name=Laura Leighton	episodes=2 episodes, 2006 	
character=Irma Levine	name=Lisa Vidal	episodes=2 episodes, 2006 	
character=A.D.A. George McDougal	name=Mark Moses	episodes=2 episodes, 2007-2008 	
character=Judge Dale Wallace	name=Thomas Kopache	episodes=2 episodes, 2004 	
character=Ande Mkeba	name=Allan Louis	episodes=2 episodes, 2006 	
character=Dr. Stanley Rivers	name=Obba Babatundé	episodes=2 episodes, 2007 	
character=Phoebe Prentice	name=Ally Walker	episodes=2 episodes, 2008 	
character=Zhu Chang	name=Raymond Ma	episodes=2 episodes, 2008 	
character=Malcolm Holmes	name=Rupert Everett	episodes=2 episodes, 2005 	
character=Beth Guttman	name=Lindsay Frost	episodes=2 episodes, 2006 	
character=Attorney Cynthia Rhodes	name=Nora Dunn	episodes=2 episodes, 2007-2008 	
character=Andrea Michele	name=Alison La Placa	episodes=2 episodes, 2008 	
character=D.A. Mary Ann Huff	name=Christine Tucci	episodes=2 episodes, 2004-2007 	
character=Judge Isabel Hernandez	name=Anne Betancourt	episodes=2 episodes, 2004-2006 	
